"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpr37l1",0,1.88753113362041,0.967,0.584,0,"0","Gpr37l1"
"Nova1",0,2.18841274905196,0.942,0.559,0,"0","Nova1"
"Pcdh11x",0,2.26440299041533,0.92,0.57,0,"0","Pcdh11x"
"Slc38a3",0,3.19922596999216,0.953,0.662,0,"0","Slc38a3"
"Mmp15",0,3.04358202875635,0.967,0.676,0,"0","Mmp15"
"Gpc5",0,2.42879885473138,0.973,0.688,0,"0","Gpc5"
"Zeb1",0,2.71155936456778,0.904,0.658,0,"0","Zeb1"
"Grin2d",0,1.25844266002106,0.995,0.76,0,"0","Grin2d"
"Abhd2",0,1.70225530293143,0.982,0.772,0,"0","Abhd2"
"Sulf2",0,1.5998289217972,0.99,0.805,0,"0","Sulf2"
"Pid1",0,2.02803777199215,0.98,0.805,0,"0","Pid1"
"Lrrtm4",0,1.33578974762758,0.999,0.839,0,"0","Lrrtm4"
"Plppr1",0,1.91207857702642,0.992,0.834,0,"0","Plppr1"
"C1ql1",0,2.21354415882513,0.937,0.795,0,"0","C1ql1"
"Pdgfra",0,3.17733829405452,0.996,0.864,0,"0","Pdgfra"
"Fchsd2",0,1.47763958487991,0.986,0.856,0,"0","Fchsd2"
"Slc6a1",0,1.2487229051,0.999,0.88,0,"0","Slc6a1"
"Ednrb",0,3.01434766586883,0.974,0.862,0,"0","Ednrb"
"Cspg4",0,2.96299721000803,0.986,0.876,0,"0","Cspg4"
"Olig2",0,1.43188967409275,0.996,0.887,0,"0","Olig2"
"Zfp36l1",0,2.89353793356696,0.922,0.817,0,"0","Zfp36l1"
"Calcrl",0,2.6774057316674,0.932,0.831,0,"0","Calcrl"
"Gria3",0,1.44639823416516,0.999,0.915,0,"0","Gria3"
"Lhfpl3",0,2.34577594680083,0.951,0.875,0,"0","Lhfpl3"
"Xylt1",0,2.39173680562564,0.983,0.908,0,"0","Xylt1"
"Ntrk3",0,1.40116802039181,1,0.933,0,"0","Ntrk3"
"Dner",0,1.50987919386117,0.999,0.938,0,"0","Dner"
"Mtss2",0,1.60636267264593,0.992,0.932,0,"0","Mtss2"
"Ncan",0,1.85202203993946,0.967,0.912,0,"0","Ncan"
"Emid1",0,2.67014028007808,0.944,0.895,0,"0","Emid1"
"Myt1",0,2.56960141499884,0.996,0.965,0,"0","Myt1"
"Serpine2",0,2.55363743679856,0.994,0.964,0,"0","Serpine2"
"Plppr5",0,1.69007389443617,0.994,0.967,0,"0","Plppr5"
"Pcdh15",0,2.19114895317653,0.999,0.973,0,"0","Pcdh15"
"Epn2",0,2.05893769291804,0.999,0.975,0,"0","Epn2"
"Matn4",0,2.49033767216126,0.968,0.95,0,"0","Matn4"
"Fabp7",0,2.60630622571769,0.909,0.927,0,"0","Fabp7"
"Gria2",0,1.29866038026087,1,0.985,0,"0","Gria2"
"Cspg5",0,1.93335004931382,0.999,0.985,0,"0","Cspg5"
"Gpm6a",0,1.01335679943947,1,0.989,0,"0","Gpm6a"
"Bcan",0,1.85475372303871,1,0.996,0,"0","Bcan"
"Cntn1",0,1.25643855412179,0.999,0.995,0,"0","Cntn1"
"Ptprz1",0,2.44123197912783,1,0.997,0,"0","Ptprz1"
"Spon1",4.25787323218768e-306,2.10749043112746,0.922,0.885,8.51574646437535e-303,"0","Spon1"
"Gm2a",3.22912693515433e-304,2.41624762047885,0.919,0.588,6.45825387030866e-301,"0","Gm2a"
"Tril",1.08451506104264e-300,2.65556742149578,0.905,0.752,2.16903012208528e-297,"0","Tril"
"Apoe",3.86931663409684e-297,1.40921288444387,0.986,0.739,7.73863326819368e-294,"0","Apoe"
"Bmp7",1.0542581414414e-296,3.0285102910756,0.873,0.568,2.1085162828828e-293,"0","Bmp7"
"Kcnd2",7.73348711199498e-296,1.7770854998975,0.974,0.896,1.546697422399e-292,"0","Kcnd2"
"Atp1a2",1.00826334108855e-295,1.71143099211248,0.936,0.9,2.01652668217709e-292,"0","Atp1a2"
