"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc38a3",0,2.48939248850547,0.99,0.697,0,"0","Slc38a3"
"Mmp15",0,2.08468979295983,0.984,0.715,0,"0","Mmp15"
"Gpc5",0,2.01081539500813,0.968,0.732,0,"0","Gpc5"
"Calcrl",0,2.33839457840067,0.979,0.834,0,"0","Calcrl"
"Pdgfra",0,2.22223031305809,1,0.883,0,"0","Pdgfra"
"Ednrb",0,2.16274948180852,0.987,0.875,0,"0","Ednrb"
"Cspg4",0,2.04568172015044,0.998,0.889,0,"0","Cspg4"
"Lhfpl3",0,1.80796933396307,0.983,0.878,0,"0","Lhfpl3"
"Xylt1",0,1.76473114552354,0.986,0.918,0,"0","Xylt1"
"Emid1",0,2.08053252137138,0.96,0.898,0,"0","Emid1"
"Matn4",0,1.90919076881224,0.982,0.949,0,"0","Matn4"
"Serpine2",0,1.92967168588354,0.997,0.968,0,"0","Serpine2"
"Myt1",0,1.90218547257589,0.998,0.97,0,"0","Myt1"
"Pcdh15",0,1.80150314932874,1,0.977,0,"0","Pcdh15"
"Epn2",0,1.59058686563146,0.999,0.979,0,"0","Epn2"
"Cspg5",0,1.52902572028961,0.999,0.988,0,"0","Cspg5"
"Bcan",0,1.43596852870375,1,0.997,0,"0","Bcan"
"Ptprz1",0,1.80097818259278,1,0.998,0,"0","Ptprz1"
"Tril",6.95994018061837e-290,2.29474463610385,0.964,0.759,1.39198803612367e-286,"0","Tril"
"Zfp36l1",6.99107745268854e-286,2.20147029419913,0.963,0.821,1.39821549053771e-282,"0","Zfp36l1"
"Bmp7",1.34118355456103e-276,2.31938935220053,0.94,0.597,2.68236710912205e-273,"0","Bmp7"
"Gpr37l1",3.25600770364537e-276,1.58906184953329,0.979,0.639,6.51201540729075e-273,"0","Gpr37l1"
"Mtss2",1.29859017750478e-273,1.28938216828539,0.991,0.942,2.59718035500956e-270,"0","Mtss2"
"Fabp7",1.2870583738052e-272,1.90312483863576,0.957,0.911,2.57411674761041e-269,"0","Fabp7"
"Npas1",2.40053363596845e-267,2.16964982186439,0.934,0.774,4.8010672719369e-264,"0","Npas1"
"Cdca7",1.61851032970521e-264,1.4078189481165,0.905,0.604,3.23702065941043e-261,"0","Cdca7"
"Pid1",1.48280902114634e-263,1.59789813747793,0.979,0.832,2.96561804229268e-260,"0","Pid1"
"Gria2",3.80608998728561e-262,1.04414316164925,1,0.987,7.61217997457123e-259,"0","Gria2"
"Caskin2",1.68306443763485e-259,1.94317250723201,0.933,0.746,3.3661288752697e-256,"0","Caskin2"
"Adamts9",1.96953697182051e-257,1.91921340978648,0.915,0.848,3.93907394364102e-254,"0","Adamts9"
"Mfsd2a",2.48930046607351e-257,2.05375296282496,0.938,0.713,4.97860093214703e-254,"0","Mfsd2a"
"Sulf2",5.93768360605185e-255,1.35310386819776,0.997,0.831,1.18753672121037e-251,"0","Sulf2"
"Apbb1ip",7.66646224600823e-255,2.26088630406595,0.889,0.372,1.53329244920165e-251,"0","Apbb1ip"
"Atp1a2",2.01430204555764e-252,1.4901977556324,0.976,0.894,4.02860409111528e-249,"0","Atp1a2"
