"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdgfra",0,1.84469681033016,1,0.892,0,"0","Pdgfra"
"Pcdh15",0,1.62037456948769,1,0.974,0,"0","Pcdh15"
"Epn2",8.43493024408209e-287,1.38317584308191,1,0.98,1.68698604881642e-283,"0","Epn2"
"Cspg4",9.13996716432511e-282,1.75928984073683,0.998,0.887,1.82799343286502e-278,"0","Cspg4"
"Myt1",5.78580185955022e-281,1.62359511414292,0.997,0.967,1.15716037191004e-277,"0","Myt1"
"Ptprz1",1.65661397495417e-274,1.35315623196675,1,0.996,3.31322794990834e-271,"0","Ptprz1"
"Serpine2",3.47869611709958e-265,1.61452977587416,0.998,0.967,6.95739223419915e-262,"0","Serpine2"
"Bcan",1.05392267959738e-262,1.18255895342127,1,0.996,2.10784535919476e-259,"0","Bcan"
"Emid1",9.63262609477191e-257,1.84891938884351,0.979,0.902,1.92652521895438e-253,"0","Emid1"
"Slc38a3",3.82584524852379e-255,1.87981294102986,0.995,0.743,7.65169049704758e-252,"0","Slc38a3"
"Matn4",2.36970896249755e-249,1.68951454692151,0.992,0.944,4.7394179249951e-246,"0","Matn4"
"Cspg5",1.75712834423559e-248,1.2634684334931,0.999,0.988,3.51425668847118e-245,"0","Cspg5"
"Calcrl",8.55380071866732e-241,1.93230391880735,0.986,0.835,1.71076014373346e-237,"0","Calcrl"
"Mmp15",1.16746290588902e-231,1.62890713078717,0.982,0.739,2.33492581177803e-228,"0","Mmp15"
"Xylt1",4.25719495352558e-231,1.4779484129928,0.989,0.917,8.51438990705117e-228,"0","Xylt1"
"Caskin2",5.5633874073232e-229,1.88008849568377,0.96,0.764,1.11267748146464e-225,"0","Caskin2"
"Ednrb",5.37136975543439e-219,1.66997120980757,0.987,0.891,1.07427395108688e-215,"0","Ednrb"
"Lhfpl3",1.46835282518246e-216,1.51695578486361,0.982,0.885,2.93670565036492e-213,"0","Lhfpl3"
"Zfp36l1",3.39652938237456e-215,1.86555557646108,0.98,0.825,6.79305876474913e-212,"0","Zfp36l1"
"Gpr37l1",9.08387933100714e-204,1.38327615241901,0.991,0.698,1.81677586620143e-200,"0","Gpr37l1"
"Npas1",5.74775967276964e-201,1.9656240168819,0.938,0.791,1.14955193455393e-197,"0","Npas1"
"Bmp7",1.00795661505199e-200,1.95103329018381,0.947,0.644,2.01591323010398e-197,"0","Bmp7"
"Mfsd2a",7.03028783404998e-200,1.83089290524961,0.952,0.73,1.40605756681e-196,"0","Mfsd2a"
"Apbb1ip",6.68854911468027e-196,1.46299022889735,0.901,0.432,1.33770982293605e-192,"0","Apbb1ip"
"Gpc5",1.32318560979746e-195,1.5090711839183,0.971,0.77,2.64637121959492e-192,"0","Gpc5"
"Sulf2",1.33723621298049e-187,1.2259574248079,0.997,0.857,2.67447242596098e-184,"0","Sulf2"
"Tril",3.08493970577596e-186,1.82346265325159,0.967,0.792,6.16987941155191e-183,"0","Tril"
"Rgcc",5.21240689220256e-186,1.63101157098091,0.956,0.911,1.04248137844051e-182,"0","Rgcc"
"Mtss2",4.75119657431539e-184,1.06894257258729,0.997,0.947,9.50239314863078e-181,"0","Mtss2"
"Cntn1",3.42212103137386e-179,0.942277300549188,0.999,0.992,6.84424206274772e-176,"0","Cntn1"
"Plppr5",6.4816296895583e-178,1.31574294740391,0.989,0.963,1.29632593791166e-174,"0","Plppr5"
"Pid1",2.43502242054508e-175,1.33327958849995,0.981,0.849,4.87004484109016e-172,"0","Pid1"
"Adamts9",4.69176872297714e-175,1.58715130868628,0.926,0.839,9.38353744595428e-172,"0","Adamts9"
"Nova1",1.67054913776569e-172,1.50231366679063,0.985,0.66,3.34109827553138e-169,"0","Nova1"
"Pcdh11x",3.74818263397123e-169,1.50465539406687,0.965,0.671,7.49636526794247e-166,"0","Pcdh11x"
"Gria2",6.12793748417928e-168,0.86716463874999,1,0.989,1.22558749683586e-164,"0","Gria2"
"Qpct",3.15669603047116e-167,1.72050240025428,0.958,0.718,6.31339206094232e-164,"0","Qpct"
