"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdgfra",0,1.83217915885248,1,0.892,0,"0","Pdgfra"
"Pcdh15",0,1.61685536008365,1,0.974,0,"0","Pcdh15"
"Epn2",1.01649063974188e-280,1.37733695054333,1,0.98,2.03298127948377e-277,"0","Epn2"
"Cspg4",9.5674804168293e-277,1.75729573844426,0.998,0.887,1.91349608336586e-273,"0","Cspg4"
"Myt1",2.13368913820811e-275,1.61738074419578,0.997,0.967,4.26737827641622e-272,"0","Myt1"
"Ptprz1",5.28462656582097e-268,1.34585948862371,1,0.996,1.05692531316419e-264,"0","Ptprz1"
"Bcan",5.24010785376551e-259,1.18183452956447,1,0.996,1.0480215707531e-255,"0","Bcan"
"Serpine2",5.65177061081639e-256,1.59188734096315,0.998,0.967,1.13035412216328e-252,"0","Serpine2"
"Emid1",1.20412327796194e-250,1.83549933792953,0.979,0.902,2.40824655592387e-247,"0","Emid1"
"Slc38a3",1.01528194030199e-248,1.86044043979294,0.995,0.744,2.03056388060398e-245,"0","Slc38a3"
"Matn4",2.60689447250009e-245,1.68304502800503,0.993,0.944,5.21378894500017e-242,"0","Matn4"
"Cspg5",9.12237139879186e-244,1.26126731723478,0.999,0.988,1.82447427975837e-240,"0","Cspg5"
"Calcrl",1.71003097116172e-238,1.93480848895096,0.988,0.835,3.42006194232344e-235,"0","Calcrl"
"Xylt1",1.55838647576854e-228,1.47554163150841,0.99,0.917,3.11677295153709e-225,"0","Xylt1"
"Caskin2",2.24907931087049e-226,1.87560078674064,0.962,0.765,4.49815862174098e-223,"0","Caskin2"
"Mmp15",3.08734310886375e-225,1.61215228744239,0.981,0.74,6.1746862177275e-222,"0","Mmp15"
"Ednrb",1.25561534763732e-215,1.67016794114605,0.988,0.891,2.51123069527465e-212,"0","Ednrb"
"Lhfpl3",1.79765889276152e-212,1.50672259216876,0.982,0.885,3.59531778552303e-209,"0","Lhfpl3"
"Zfp36l1",8.89780986810379e-208,1.83426616971604,0.979,0.825,1.77956197362076e-204,"0","Zfp36l1"
"Bmp7",1.28629380567746e-202,1.96010784760798,0.952,0.644,2.57258761135492e-199,"0","Bmp7"
