"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Emid1",0,2.26557833591805,0.993,0.609,0,"0","Emid1"
"Thbs4",0,2.08705766895258,0.975,0.595,0,"0","Thbs4"
"Pdgfra",0,2.53792920787699,0.995,0.765,0,"0","Pdgfra"
"Bcan",0,1.96993951887257,1,0.789,0,"0","Bcan"
"Cspg5",0,2.25698003110738,0.995,0.785,0,"0","Cspg5"
"Xylt1",0,2.13852474268849,0.988,0.788,0,"0","Xylt1"
"Lhfpl3",0,2.31411210128482,0.986,0.797,0,"0","Lhfpl3"
"Pcdh15",0,2.07052131372377,1,0.817,0,"0","Pcdh15"
"Mtss2",0,1.99300356365981,0.992,0.813,0,"0","Mtss2"
"Matn4",0,2.27619345617974,0.991,0.812,0,"0","Matn4"
"Cspg4",0,2.34429306228257,0.985,0.818,0,"0","Cspg4"
"Myt1",0,2.22250306122829,0.993,0.827,0,"0","Myt1"
"Atp1a2",0,1.94830596263627,0.994,0.84,0,"0","Atp1a2"
"Ptprz1",0,2.31535806724947,1,0.858,0,"0","Ptprz1"
"Vcan",3.99129042992504e-307,2.13318655338803,0.995,0.684,7.98258085985007e-304,"0","Vcan"
"Adm",6.6123082615422e-307,2.56200233467279,0.94,0.595,1.32246165230844e-303,"0","Adm"
"Uhrf1",1.20786216657396e-303,1.41337590112673,0.953,0.501,2.41572433314793e-300,"0","Uhrf1"
"Exo1",3.63426269981668e-295,1.0977033765352,0.961,0.737,7.26852539963337e-292,"0","Exo1"
"Serpine2",5.52565936765893e-294,1.88735347170441,0.968,0.798,1.10513187353179e-290,"0","Serpine2"
"Cldn5",1.36050939402732e-290,1.44067408007064,0.97,0.504,2.72101878805464e-287,"0","Cldn5"
"Lrp1",7.52994044654187e-280,1.5866974939367,0.986,0.82,1.50598808930837e-276,"0","Lrp1"
"Gpc5",6.1961220788637e-270,1.94425949647496,0.95,0.695,1.23922441577274e-266,"0","Gpc5"
"C1ql1",4.39976692533483e-264,2.04271324747402,0.956,0.818,8.79953385066966e-261,"0","C1ql1"
"Tnr",1.36893364338153e-258,1.53313018472354,0.997,0.824,2.73786728676306e-255,"0","Tnr"
"Mki67",6.82563090533067e-258,0.568626678418895,0.922,0.442,1.36512618106613e-254,"0","Mki67"
"Pid1",9.32137511296848e-258,1.91864843524209,0.956,0.698,1.8642750225937e-254,"0","Pid1"
"Slc38a3",6.26949552488469e-253,2.30083726949843,0.929,0.58,1.25389910497694e-249,"0","Slc38a3"
"Gpr17",1.8971354921243e-252,1.16451334990558,0.998,0.876,3.7942709842486e-249,"0","Gpr17"
"Efnb2",2.77308474170215e-243,1.83550680748524,0.976,0.671,5.5461694834043e-240,"0","Efnb2"
"Cav1",4.76989716068469e-238,2.11762470513811,0.93,0.528,9.53979432136939e-235,"0","Cav1"
"Pnlip",1.66957638641417e-237,2.27914198233507,0.844,0.508,3.33915277282833e-234,"0","Pnlip"
"Cyp26b1",1.47175753121205e-235,1.37306869251583,0.928,0.408,2.9435150624241e-232,"0","Cyp26b1"
"Gpnmb",5.56917171325782e-230,2.01458154651505,0.825,0.328,1.11383434265156e-226,"0","Gpnmb"
"Plppr5",6.21678627630654e-224,1.75120038303902,0.953,0.738,1.24335725526131e-220,"0","Plppr5"
"Lpin2",1.04513577190396e-221,1.97667308518484,0.978,0.646,2.09027154380791e-218,"0","Lpin2"
"Ednrb",6.99812290543375e-221,2.19449995771026,0.889,0.671,1.39962458108675e-217,"0","Ednrb"
"Adarb2",9.40362434051618e-221,1.57581899733356,0.965,0.704,1.88072486810324e-217,"0","Adarb2"
"Dusp14",1.29581589609313e-219,0.989900453227426,0.973,0.659,2.59163179218626e-216,"0","Dusp14"
"Ramp1",6.65209319253124e-216,1.93400976581562,0.973,0.77,1.33041863850625e-212,"0","Ramp1"
"Grin3a",8.30134233502527e-216,2.22138413777218,0.915,0.783,1.66026846700505e-212,"0","Grin3a"
"Rxrg",3.19245507994598e-214,1.99906729532314,0.874,0.459,6.38491015989195e-211,"0","Rxrg"
"Nxph1",3.58283936741189e-210,2.34787409322371,0.889,0.651,7.16567873482378e-207,"0","Nxph1"
"Bcl6",1.28346558195963e-207,2.03906286780778,0.927,0.613,2.56693116391926e-204,"0","Bcl6"
"Otx1",1.25742653699091e-206,1.77093689728112,0.87,0.506,2.51485307398182e-203,"0","Otx1"
"Ppfibp1",2.00942275694937e-205,1.54452447728831,0.988,0.623,4.01884551389874e-202,"0","Ppfibp1"
"Mafb",4.22095203270798e-205,2.03749994299537,0.864,0.53,8.44190406541595e-202,"0","Mafb"
"Gpm6a",1.23338126347923e-204,1.32383539746485,0.992,0.829,2.46676252695847e-201,"0","Gpm6a"
"Gpr12",2.88515502778265e-204,0.783708247185634,0.968,0.606,5.77031005556531e-201,"0","Gpr12"
