"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptprz1",0,1.85669419234506,0.999,0.914,0,"0","Ptprz1"
"Pcdh15",2.40222747759722e-290,1.87282079236848,1,0.887,4.80445495519443e-287,"0","Pcdh15"
"Pdgfra",1.57382219903868e-286,2.04473041988147,0.997,0.795,3.14764439807736e-283,"0","Pdgfra"
"Bcan",4.42238315602329e-285,1.74553800025564,1,0.894,8.84476631204658e-282,"0","Bcan"
"Lhfpl3",1.32243045261476e-276,2.24063019550251,0.995,0.772,2.64486090522951e-273,"0","Lhfpl3"
"Apobec1",3.77638723553657e-275,1.57491315227838,0.966,0.374,7.55277447107314e-272,"0","Apobec1"
"Cspg5",2.30966868693656e-261,1.73007347732196,0.995,0.816,4.61933737387311e-258,"0","Cspg5"
"Emid1",2.58088390547024e-261,2.10963310128879,0.989,0.672,5.16176781094048e-258,"0","Emid1"
"Matn4",5.29054155728116e-260,1.9881972891205,1,0.845,1.05810831145623e-256,"0","Matn4"
"Oprk1",7.11565182862743e-254,0.913151360004526,0.966,0.522,1.42313036572549e-250,"0","Oprk1"
"Cspg4",7.00853913665264e-252,1.87721133386977,0.991,0.835,1.40170782733053e-248,"0","Cspg4"
"Lrp1",1.83592202703849e-239,1.56675063793714,0.995,0.844,3.67184405407698e-236,"0","Lrp1"
"Ecrg4",1.56099115300472e-231,2.02458313668284,0.937,0.409,3.12198230600943e-228,"0","Ecrg4"
"Tnr",2.19811841386113e-225,1.63605242051277,1,0.863,4.39623682772226e-222,"0","Tnr"
"Serpine2",5.48360530521926e-224,1.68191984585802,0.984,0.838,1.09672106104385e-220,"0","Serpine2"
"Gpc5",2.28182104322214e-220,1.91473575610212,0.968,0.769,4.56364208644428e-217,"0","Gpc5"
"Gpnmb",6.61349788122686e-218,2.13885115144101,0.925,0.377,1.32269957624537e-214,"0","Gpnmb"
"Pid1",1.63958773008241e-214,1.82166875200863,0.98,0.725,3.27917546016481e-211,"0","Pid1"
"Calcrl",4.35594817056869e-213,2.16013176931373,0.961,0.615,8.71189634113738e-210,"0","Calcrl"
"Xylt1",5.05431651729711e-207,1.5466178922817,0.985,0.842,1.01086330345942e-203,"0","Xylt1"
"Neu4",6.76373204919337e-206,1.61399335839938,0.996,0.699,1.35274640983867e-202,"0","Neu4"
"Spry1",5.61536835240419e-203,2.29059325845277,0.945,0.681,1.12307367048084e-199,"0","Spry1"
"Plcd4",2.87897605954243e-202,1.58138584388713,0.915,0.544,5.75795211908485e-199,"0","Plcd4"
"C1ql1",3.39279948786881e-199,1.74965938911233,0.97,0.77,6.78559897573763e-196,"0","C1ql1"
"Pla2g3",5.48569009237633e-199,1.04032682960037,0.958,0.63,1.09713801847527e-195,"0","Pla2g3"
