"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Etv4",0,2.80145920974636,0.932,0.436,0,"0","Etv4"
"Cspg4",0,2.56733762706683,0.968,0.492,0,"0","Cspg4"
"Emid1",0,2.49305637151833,0.969,0.501,0,"0","Emid1"
"Vcan",0,2.07316865009383,0.978,0.586,0,"0","Vcan"
"Pdgfra",0,3.061607264928,0.996,0.627,0,"0","Pdgfra"
"Rgcc",0,2.35001045189426,0.954,0.63,0,"0","Rgcc"
"C1ql1",0,2.39876507526587,0.946,0.642,0,"0","C1ql1"
"Matn4",0,2.742711824421,0.994,0.727,0,"0","Matn4"
"Gpc5",0,2.50855067032418,0.925,0.658,0,"0","Gpc5"
"Bcan",0,2.10263301991884,0.999,0.733,0,"0","Bcan"
"Xylt1",0,2.63820336778783,0.975,0.72,0,"0","Xylt1"
"Mtss2",0,2.27830096135401,0.986,0.738,0,"0","Mtss2"
"Atp1a2",0,2.62100515967674,0.993,0.788,0,"0","Atp1a2"
"Cspg5",0,2.61483077708868,0.978,0.781,0,"0","Cspg5"
"Lrp1",0,2.0126887002277,0.98,0.784,0,"0","Lrp1"
"Myt1",0,2.56301225884323,0.991,0.798,0,"0","Myt1"
"Lhfpl3",0,2.61551317981803,0.975,0.788,0,"0","Lhfpl3"
"Mmp15",0,2.74456473982109,0.929,0.756,0,"0","Mmp15"
"Ptprz1",0,2.66300399992314,1,0.834,0,"0","Ptprz1"
"Pcdh15",0,2.47995776135225,0.998,0.835,0,"0","Pcdh15"
"Serpine2",0,2.56661636016478,0.959,0.814,0,"0","Serpine2"
"Spry1",4.85744758782825e-296,2.93392736299312,0.912,0.553,9.7148951756565e-293,"0","Spry1"
"Baiap3",5.75909736669979e-286,1.59290557356217,0.857,0.288,1.15181947333996e-282,"0","Baiap3"
"Pid1",1.74264235320481e-258,2.1699329951105,0.92,0.688,3.48528470640962e-255,"0","Pid1"
"Gpr37l1",1.09128196586922e-256,1.76666000312559,0.95,0.738,2.18256393173844e-253,"0","Gpr37l1"
"Ntrk3",4.69639547008551e-254,1.97177627345166,0.94,0.755,9.39279094017103e-251,"0","Ntrk3"
"Gpr17",1.66688910791461e-252,1.01264748792364,0.997,0.848,3.33377821582923e-249,"0","Gpr17"
"Slc38a3",5.0004668996739e-251,2.50838932107404,0.881,0.598,1.00009337993478e-247,"0","Slc38a3"
"Tnr",1.01887049076995e-249,1.34674847052441,0.992,0.797,2.0377409815399e-246,"0","Tnr"
"Calcrl",5.76329902365271e-249,2.40344039139649,0.875,0.587,1.15265980473054e-245,"0","Calcrl"
"Abhd2",1.50855135238403e-248,1.92906674797042,0.941,0.764,3.01710270476805e-245,"0","Abhd2"
"Vegfa",1.58290576825394e-248,2.37343804605167,0.93,0.663,3.16581153650789e-245,"0","Vegfa"
"Dner",1.39644180351843e-243,2.37166928955245,0.917,0.658,2.79288360703685e-240,"0","Dner"
"Unc13c",4.68064065052884e-238,2.56105634917303,0.879,0.465,9.36128130105768e-235,"0","Unc13c"
"Mgat5b",2.51884234176647e-233,2.21724108956548,0.922,0.723,5.03768468353294e-230,"0","Mgat5b"
"Zeb1",8.86825357779621e-232,2.3464230227683,0.912,0.751,1.77365071555924e-228,"0","Zeb1"
"Slc6a1",1.41960031480317e-231,1.50273898948271,0.978,0.778,2.83920062960634e-228,"0","Slc6a1"
"Spon1",2.01371096053964e-231,1.92698531956187,0.906,0.603,4.02742192107929e-228,"0","Spon1"
"Mki67",4.05576799380277e-229,0.84366221631318,0.828,0.334,8.11153598760555e-226,"0","Mki67"
"Fchsd2",8.6459804141718e-225,1.62193152111385,0.942,0.739,1.72919608283436e-221,"0","Fchsd2"
"Agap2",5.01484275763416e-223,1.93293282805575,0.943,0.705,1.00296855152683e-219,"0","Agap2"
"Spry4",5.53246064088501e-220,2.57278009761386,0.83,0.413,1.106492128177e-216,"0","Spry4"
"Ptprn",8.992659154014e-220,1.83750462845439,0.967,0.782,1.7985318308028e-216,"0","Ptprn"
"Traf4",1.25790409641175e-219,2.18367688610276,0.907,0.6,2.5158081928235e-216,"0","Traf4"
"Megf11",1.98974574281759e-218,2.50215675862096,0.868,0.579,3.97949148563517e-215,"0","Megf11"
"Cacng4",4.76754744577758e-214,2.11638449081317,0.859,0.526,9.53509489155516e-211,"0","Cacng4"
"Adm",4.57485852269697e-211,2.87046285442239,0.827,0.484,9.14971704539395e-208,"0","Adm"
"Midn",7.82883555523755e-210,2.16327151744606,0.885,0.761,1.56576711104751e-206,"0","Midn"
"Plppr5",1.57839949970435e-206,1.8643191031739,0.905,0.789,3.15679899940869e-203,"0","Plppr5"
"Col18a1",1.7440847963634e-205,2.97374287862402,0.766,0.476,3.4881695927268e-202,"0","Col18a1"
"Gsap",2.01437178122736e-205,2.50281744258962,0.795,0.39,4.02874356245472e-202,"0","Gsap"
"Smoc2",1.28815417615644e-204,1.40751476006047,0.83,0.39,2.57630835231289e-201,"0","Smoc2"
"Syt10",2.13295883735469e-204,1.28142108460754,0.86,0.645,4.26591767470938e-201,"0","Syt10"
"Vxn",1.44054487030216e-201,2.04987434840725,0.891,0.521,2.88108974060431e-198,"0","Vxn"
"Zfp36l1",1.08929286328881e-199,2.90690389238147,0.829,0.653,2.17858572657762e-196,"0","Zfp36l1"
"Tafa1",5.54854987318612e-199,2.02853916616179,0.803,0.395,1.10970997463722e-195,"0","Tafa1"
"Gpm6a",5.72997038163652e-199,1.41210319283937,0.949,0.744,1.1459940763273e-195,"0","Gpm6a"
"Dscam",7.24766875179124e-199,1.8300841013573,0.919,0.747,1.44953375035825e-195,"0","Dscam"
"Tacc2",4.88637829831164e-197,2.23253062874195,0.863,0.631,9.77275659662329e-194,"0","Tacc2"
"Uhrf1",1.99395542996023e-196,1.08205567748016,0.787,0.354,3.98791085992046e-193,"0","Uhrf1"
"Nrxn2",3.01813133101546e-191,1.4011956410243,0.953,0.805,6.03626266203093e-188,"0","Nrxn2"
"Astn1",7.98687078405379e-191,2.13898826394238,0.894,0.752,1.59737415681076e-187,"0","Astn1"
"Pcdh18",1.6081080981054e-190,1.10739129204113,0.79,0.327,3.21621619621079e-187,"0","Pcdh18"
"Gria3",1.17455058934135e-189,1.837567743559,0.925,0.669,2.3491011786827e-186,"0","Gria3"
"Ednrb",1.09697958434702e-188,2.35022805711641,0.823,0.643,2.19395916869404e-185,"0","Ednrb"
"Lrrfip1",1.72670227440976e-188,1.90845843191518,0.937,0.764,3.45340454881951e-185,"0","Lrrfip1"
"Gria2",1.5466427937704e-187,1.10952524399331,0.992,0.896,3.0932855875408e-184,"0","Gria2"
"Per2",5.720467870748e-187,2.17677814045027,0.892,0.749,1.1440935741496e-183,"0","Per2"
"Chst11",2.37801849859903e-186,2.50506011760872,0.848,0.641,4.75603699719806e-183,"0","Chst11"
"Sdc3",8.8830223259007e-185,2.07830423587969,0.842,0.692,1.77660446518014e-181,"0","Sdc3"
