"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Emid1",0,2.45265411704108,0.958,0.822,0,"0","Emid1"
"Cspg4",0,2.31169521047436,0.98,0.871,0,"0","Cspg4"
"Pdgfra",0,2.26437254013474,0.999,0.901,0,"0","Pdgfra"
"Pcdh15",0,2.23274301702298,0.996,0.898,0,"0","Pcdh15"
"Mmp15",0,2.37649687198633,0.976,0.878,0,"0","Mmp15"
"Gpr17",0,1.25391757126623,0.995,0.903,0,"0","Gpr17"
"Mfsd2a",0,2.33828170460533,0.915,0.827,0,"0","Mfsd2a"
"Tnr",0,1.16757779930999,0.975,0.89,0,"0","Tnr"
"Serpine2",0,2.12904824315642,0.978,0.893,0,"0","Serpine2"
"Xylt1",0,2.01660002889179,0.96,0.877,0,"0","Xylt1"
"Cspg5",0,1.70105151532907,0.995,0.914,0,"0","Cspg5"
"Gpc5",0,2.34311817946531,0.958,0.882,0,"0","Gpc5"
"Gpr37l1",0,1.64418257090389,0.947,0.872,0,"0","Gpr37l1"
"Ntrk3",0,1.62065315106848,0.947,0.882,0,"0","Ntrk3"
"Lhfpl3",0,1.53776985240571,0.945,0.885,0,"0","Lhfpl3"
"Ednrb",0,1.79494328579256,0.953,0.897,0,"0","Ednrb"
"Myt1",0,1.97245880314533,0.995,0.95,0,"0","Myt1"
"Bcan",0,1.76853060785548,1,0.958,0,"0","Bcan"
"Pid1",0,1.86634146167836,0.968,0.926,0,"0","Pid1"
"Mtss2",0,1.29777399112403,0.983,0.946,0,"0","Mtss2"
"Ptprz1",0,1.25913012180345,0.999,0.966,0,"0","Ptprz1"
"Lrp1",0,1.15369034748148,0.99,0.967,0,"0","Lrp1"
"Spry4",9.25884426709722e-306,2.38960298940302,0.932,0.793,1.85176885341944e-302,"0","Spry4"
"Cntn1",9.68048926094678e-295,1.18661427997034,0.974,0.943,1.93609785218936e-291,"0","Cntn1"
"Plppr5",4.71278243144508e-291,1.79211084675593,0.943,0.888,9.42556486289017e-288,"0","Plppr5"
"Matn4",7.30560098623675e-291,1.60511531916479,0.904,0.84,1.46112019724735e-287,"0","Matn4"
"Foxd1",3.36303386941435e-280,0.356692560006644,0.798,0.382,6.7260677388287e-277,"0","Foxd1"
"Rap1gap",4.85898996595032e-263,1.08848152045397,0.982,0.927,9.71797993190064e-260,"0","Rap1gap"
"Rgcc",7.98605183170862e-262,1.98064731192707,0.888,0.83,1.59721036634172e-258,"0","Rgcc"
"Gria3",1.14241665285637e-260,1.83198205966125,0.917,0.839,2.28483330571274e-257,"0","Gria3"
"Npas1",1.2803590050625e-259,2.33048965450664,0.884,0.799,2.56071801012499e-256,"0","Npas1"
"Spry1",1.52798070742722e-256,2.08358445664494,0.905,0.835,3.05596141485445e-253,"0","Spry1"
"Calcrl",1.42660566941821e-239,2.27857880875447,0.877,0.775,2.85321133883643e-236,"0","Calcrl"
"C1ql1",2.36718489636001e-239,1.8326182490004,0.887,0.849,4.73436979272002e-236,"0","C1ql1"
"Rasgrf1",3.64042426651462e-239,2.49927813467028,0.866,0.717,7.28084853302925e-236,"0","Rasgrf1"
"Atp1a2",7.33551396964533e-233,1.28878301199391,0.93,0.87,1.46710279392907e-229,"0","Atp1a2"
"Kcnd2",1.3098838977709e-229,1.71432684870396,0.904,0.868,2.61976779554181e-226,"0","Kcnd2"
"Slc38a3",1.79313139697677e-227,1.37438832079975,0.931,0.886,3.58626279395353e-224,"0","Slc38a3"
"Cacng4",2.23097091625061e-222,1.82206427552708,0.889,0.87,4.46194183250121e-219,"0","Cacng4"
"Tmem255b",2.49658040225353e-211,2.08184733830174,0.894,0.785,4.99316080450707e-208,"0","Tmem255b"
"Sdc3",1.43667589515622e-206,1.20366235961842,0.964,0.919,2.87335179031244e-203,"0","Sdc3"
"Col19a1",1.73040872575803e-203,2.56862964403049,0.807,0.676,3.46081745151606e-200,"0","Col19a1"
"Astn2",3.11406423879714e-201,1.38720021924056,0.91,0.82,6.22812847759429e-198,"0","Astn2"
"Vxn",9.3357593707524e-195,1.66967330520706,0.879,0.875,1.86715187415048e-191,"0","Vxn"
"Tmem132d",1.3177574395138e-194,2.37401053068965,0.832,0.672,2.6355148790276e-191,"0","Tmem132d"
"Scn3a",1.03638441195073e-186,1.70898225005356,0.927,0.867,2.07276882390146e-183,"0","Scn3a"
"Fabp7",1.35794892203345e-185,1.25070280503335,0.943,0.853,2.71589784406691e-182,"0","Fabp7"
"Spon1",1.98342685316754e-185,1.26835137684685,0.912,0.909,3.96685370633508e-182,"0","Spon1"
"Oprl1",2.37662888730904e-185,2.19109667114789,0.87,0.799,4.75325777461807e-182,"0","Oprl1"
"Gria2",3.21336238676186e-185,0.725292717009109,0.997,0.978,6.42672477352372e-182,"0","Gria2"
"Dscam",9.43167545914587e-185,1.37623741321205,0.897,0.896,1.88633509182917e-181,"0","Dscam"
"Kank1",8.19900968702854e-183,1.45195047222891,0.936,0.856,1.63980193740571e-179,"0","Kank1"
"Arhgap35",5.0995762000507e-175,1.06487267811052,0.962,0.912,1.01991524001014e-171,"0","Arhgap35"
"Plppr1",4.31215741532165e-172,1.43322693956019,0.91,0.853,8.6243148306433e-169,"0","Plppr1"
"Neto1",4.12797883010055e-171,1.67850796190697,0.912,0.812,8.2559576602011e-168,"0","Neto1"
"Egr1",9.42813700195749e-168,1.55126549077116,0.879,0.778,1.8856274003915e-164,"0","Egr1"
"Lrrc10b",3.19611041651195e-165,0.309256127751995,0.809,0.529,6.3922208330239e-162,"0","Lrrc10b"
"Plpp4",4.40137443685635e-165,1.94588908962063,0.85,0.799,8.8027488737127e-162,"0","Plpp4"
"Lrrtm4",1.68163617177109e-163,1.50284367806167,0.903,0.872,3.36327234354218e-160,"0","Lrrtm4"
"Adamts16",4.55102168455097e-152,1.10503981325986,0.835,0.629,9.10204336910195e-149,"0","Adamts16"
"Frzb",9.43747523831007e-149,2.15823643532911,0.749,0.555,1.88749504766201e-145,"0","Frzb"
