"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cux2",0,1.71211501281748,0.958,0.67,0,"0","Cux2"
"Ccbe1",0,2.43141262049845,0.955,0.693,0,"0","Ccbe1"
"Col14a1",0,1.72604067194812,0.856,0.596,0,"0","Col14a1"
"Pou3f2",0,1.58114904003698,0.878,0.63,0,"0","Pou3f2"
"Dipk2a",0,1.06320121437848,0.928,0.685,0,"0","Dipk2a"
"Egflam",0,0.510647674089943,0.851,0.614,0,"0","Egflam"
"Slc4a5",0,0.73956861419938,0.77,0.543,0,"0","Slc4a5"
"Crlf1",0,1.50710765252107,0.841,0.615,0,"0","Crlf1"
"Dpyd",0,0.547515917344927,0.894,0.672,0,"0","Dpyd"
"Fn1",0,0.424434672905988,0.865,0.647,0,"0","Fn1"
"Cpne8",0,1.85890926447344,0.986,0.768,0,"0","Cpne8"
"Pdzrn3",0,1.63868364788683,0.948,0.731,0,"0","Pdzrn3"
"Lhx2",0,1.22431680908269,0.93,0.714,0,"0","Lhx2"
"Kcnh5",0,0.772269437619155,0.894,0.678,0,"0","Kcnh5"
"Pdyn",0,0.509627164374375,0.842,0.63,0,"0","Pdyn"
"Cacng3",0,1.49760760898332,0.96,0.75,0,"0","Cacng3"
"Npnt",0,1.84571437253156,0.923,0.714,0,"0","Npnt"
"Kcnv1",0,1.27155174659502,0.956,0.748,0,"0","Kcnv1"
"Prex1",0,1.35251725978828,0.924,0.717,0,"0","Prex1"
"Cpne4",0,0.975313459792332,0.869,0.663,0,"0","Cpne4"
"Egr3",0,1.37543438086851,0.919,0.714,0,"0","Egr3"
"Tbc1d5",0,0.894493011007198,0.876,0.671,0,"0","Tbc1d5"
"Flrt3",0,1.10406658734169,0.835,0.631,0,"0","Flrt3"
"Pou3f3",0,0.662998771342596,0.905,0.703,0,"0","Pou3f3"
"Met",0,1.98834784499889,0.971,0.769,0,"0","Met"
"Dnah10",0,0.745514522486979,0.71,0.51,0,"0","Dnah10"
"Sphkap",0,1.08735508536053,0.961,0.763,0,"0","Sphkap"
"Prdm8",0,1.44611650900294,0.859,0.662,0,"0","Prdm8"
"Ptpru",0,1.03150029991578,0.959,0.764,0,"0","Ptpru"
"Nrip3",0,0.608443862620669,0.924,0.73,0,"0","Nrip3"
"Pcdh11x",0,0.574080381354718,0.939,0.745,0,"0","Pcdh11x"
"Vwc2l",0,0.979752114324143,0.878,0.684,0,"0","Vwc2l"
"Id2",0,0.707002917654142,0.893,0.701,0,"0","Id2"
"Gpc3",0,0.535388420231468,0.843,0.651,0,"0","Gpc3"
"Cemip",0,1.1676681861476,0.908,0.717,0,"0","Cemip"
"Inhba",0,1.81678460602619,0.769,0.579,0,"0","Inhba"
"Mpped1",0,0.819011217495219,0.95,0.76,0,"0","Mpped1"
"Mlip",0,1.44526843464856,0.936,0.748,0,"0","Mlip"
"Mdga1",0,1.6293860138515,0.912,0.725,0,"0","Mdga1"
"Smoc2",0,1.61441684287764,0.74,0.553,0,"0","Smoc2"
"Igfbp4",0,0.827394470461472,0.812,0.627,0,"0","Igfbp4"
"Tnxb",0,0.777248251007343,0.786,0.602,0,"0","Tnxb"
"Rgs6",0,1.49134815952938,0.923,0.741,0,"0","Rgs6"
"Wdr66",0,1.14917375129044,0.794,0.614,0,"0","Wdr66"
"Car10",0,0.6396356746683,0.937,0.759,0,"0","Car10"
"Satb2",0,1.48904125943754,0.995,0.818,0,"0","Satb2"
"Tmtc1",0,0.937283890130049,0.86,0.683,0,"0","Tmtc1"
"Slc17a6",0,0.625100806612065,0.915,0.739,0,"0","Slc17a6"
"Col5a2",0,1.01150424561486,0.8,0.625,0,"0","Col5a2"
"Slc30a3",0,1.13760208645979,0.932,0.757,0,"0","Slc30a3"
"Efna5",0,0.918929600849933,0.886,0.713,0,"0","Efna5"
"Kcnh1",0,0.78615253536574,0.922,0.753,0,"0","Kcnh1"
"Cdh6",0,1.3549575236246,0.906,0.738,0,"0","Cdh6"
"Kirrel3",0,0.932922935301962,0.939,0.771,0,"0","Kirrel3"
"Zbbx",0,0.676699524911028,0.841,0.675,0,"0","Zbbx"
"Usp43",0,0.93484241804207,0.904,0.74,0,"0","Usp43"
"Hdac9",0,0.909007695588613,0.87,0.708,0,"0","Hdac9"
