"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Uhrf1",0,1.64615012067437,0.951,0.498,0,"0","Uhrf1"
"Emid1",0,2.30873221261804,0.991,0.606,0,"0","Emid1"
"Thbs4",0,2.10703877347624,0.975,0.592,0,"0","Thbs4"
"Adm",0,2.55076089268592,0.939,0.592,0,"0","Adm"
"Vcan",0,2.15231078208787,0.995,0.682,0,"0","Vcan"
"Pdgfra",0,2.59171048099279,0.994,0.764,0,"0","Pdgfra"
"Bcan",0,1.99282471299302,1,0.788,0,"0","Bcan"
"Cspg5",0,2.31474013833697,0.995,0.783,0,"0","Cspg5"
"Xylt1",0,2.16160368490124,0.988,0.786,0,"0","Xylt1"
"Lhfpl3",0,2.3431772891331,0.986,0.796,0,"0","Lhfpl3"
"Pcdh15",0,2.08376164834856,1,0.816,0,"0","Pcdh15"
"Matn4",0,2.32187344097466,0.99,0.811,0,"0","Matn4"
"Mtss2",0,2.0093477734322,0.991,0.812,0,"0","Mtss2"
"Cspg4",0,2.3898238243324,0.984,0.816,0,"0","Cspg4"
"Myt1",0,2.24521850463026,0.993,0.826,0,"0","Myt1"
"Atp1a2",0,1.96647707173305,0.994,0.839,0,"0","Atp1a2"
"Ptprz1",0,2.36198763078905,1,0.857,0,"0","Ptprz1"
"Serpine2",2.82448133704006e-306,1.90675896926317,0.969,0.797,5.64896267408012e-303,"0","Serpine2"
"Exo1",2.5522914884474e-304,1.18299091925429,0.957,0.736,5.10458297689481e-301,"0","Exo1"
"Cldn5",8.92960116784014e-301,1.43106095988233,0.968,0.501,1.78592023356803e-297,"0","Cldn5"
"Lrp1",1.13354992180234e-292,1.61512537405237,0.986,0.818,2.26709984360469e-289,"0","Lrp1"
"Gpc5",9.87113101617852e-283,1.99992726620057,0.95,0.693,1.9742262032357e-279,"0","Gpc5"
"C1ql1",4.08402738015757e-274,2.06495001656959,0.956,0.817,8.16805476031514e-271,"0","C1ql1"
"Mki67",1.64629258624115e-270,0.621249027517552,0.921,0.438,3.29258517248229e-267,"0","Mki67"
"Tnr",7.2509598093825e-269,1.5509072757322,0.997,0.823,1.4501919618765e-265,"0","Tnr"
"Slc38a3",8.64919002866238e-266,2.34777688101359,0.929,0.577,1.72983800573248e-262,"0","Slc38a3"
"Pid1",4.19356709814547e-262,1.91790783577421,0.955,0.697,8.38713419629094e-259,"0","Pid1"
"Gpr17",9.48024396186008e-259,1.15657450170729,0.998,0.875,1.89604879237202e-255,"0","Gpr17"
"Efnb2",8.49494773679889e-251,1.84365613724117,0.974,0.669,1.69898954735978e-247,"0","Efnb2"
"Pnlip",7.94637723323409e-246,2.32999769161554,0.843,0.506,1.58927544664682e-242,"0","Pnlip"
"Cyp26b1",1.0261405423714e-245,1.38040206164328,0.928,0.404,2.0522810847428e-242,"0","Cyp26b1"
"Cav1",1.04643075506418e-245,2.12517251972806,0.929,0.525,2.09286151012836e-242,"0","Cav1"
"Gpnmb",8.41921535028133e-239,1.98020419657321,0.826,0.324,1.68384307005627e-235,"0","Gpnmb"
"Plppr5",9.64209972465747e-231,1.75783985673357,0.953,0.736,1.92841994493149e-227,"0","Plppr5"
"Lpin2",8.63153068576721e-230,1.99324715101221,0.977,0.644,1.72630613715344e-226,"0","Lpin2"
"Ednrb",4.8815375935556e-229,2.22084585355397,0.888,0.67,9.76307518711121e-226,"0","Ednrb"
"Adarb2",2.49464875284163e-228,1.60299146060154,0.965,0.702,4.98929750568327e-225,"0","Adarb2"
"Dusp14",2.79673903649411e-228,0.988222302450736,0.973,0.657,5.59347807298822e-225,"0","Dusp14"
"Grin3a",6.45137040922814e-228,2.24759077659679,0.918,0.781,1.29027408184563e-224,"0","Grin3a"
"Ramp1",2.40475376586054e-225,1.95568335883475,0.973,0.769,4.80950753172108e-222,"0","Ramp1"
"Rxrg",9.30270479905749e-221,2.00343541579174,0.874,0.456,1.8605409598115e-217,"0","Rxrg"
"Nxph1",1.49748113006955e-218,2.37356760810887,0.888,0.649,2.9949622601391e-215,"0","Nxph1"
"Gpm6a",2.45753619436725e-214,1.35323348908974,0.991,0.828,4.91507238873451e-211,"0","Gpm6a"
"Ppfibp1",2.88679497260941e-213,1.54103879601446,0.988,0.621,5.77358994521883e-210,"0","Ppfibp1"
"Bcl6",8.32844819378155e-213,2.03219255344216,0.926,0.611,1.66568963875631e-209,"0","Bcl6"
"Mafb",1.72006095953604e-211,2.02939171530421,0.862,0.528,3.44012191907207e-208,"0","Mafb"
"Otx1",6.26683466191269e-211,1.8062569150066,0.866,0.504,1.25336693238254e-207,"0","Otx1"
"Gpr12",7.50602184660337e-211,0.77024503836391,0.968,0.603,1.50120436932067e-207,"0","Gpr12"
"Fgf14",1.49453865518216e-206,1.72210004134974,0.978,0.676,2.98907731036432e-203,"0","Fgf14"
"Fam20a",4.65314201388287e-205,0.564377217256451,0.972,0.489,9.30628402776574e-202,"0","Fam20a"
"Gucy2f",2.36036264344196e-204,2.68458284096645,0.829,0.564,4.72072528688392e-201,"0","Gucy2f"
"Neu4",6.0160552609997e-202,1.39779024099433,0.974,0.727,1.20321105219994e-198,"0","Neu4"
"Matn1",5.666265130399e-201,0.355032274879465,0.907,0.577,1.1332530260798e-197,"0","Matn1"
"Vxn",2.98537703667373e-199,1.89120108466539,0.924,0.608,5.97075407334745e-196,"0","Vxn"
"Brinp1",2.48401293785293e-198,1.77429541506674,0.985,0.754,4.96802587570585e-195,"0","Brinp1"
"Ndnf",1.07727451403581e-197,0.599310958757383,0.883,0.339,2.15454902807162e-194,"0","Ndnf"
"Ccn1",7.89089308726653e-196,2.04902941756316,0.843,0.502,1.57817861745331e-192,"0","Ccn1"
"Klf12",2.16101279451591e-195,1.74875356833303,0.933,0.666,4.32202558903183e-192,"0","Klf12"
"Slitrk1",4.50289465944758e-194,1.79759839133162,0.974,0.759,9.00578931889516e-191,"0","Slitrk1"
"Oprk1",4.10901271036388e-192,0.304931291074542,0.879,0.408,8.21802542072775e-189,"0","Oprk1"
"Bgn",3.8334907257984e-188,0.362501569354423,0.937,0.435,7.66698145159681e-185,"0","Bgn"
"Olfm2",3.53263050841188e-187,1.81078503983925,0.912,0.708,7.06526101682375e-184,"0","Olfm2"
"Zic2",5.23091417186443e-182,0.299857685739819,0.926,0.653,1.04618283437289e-178,"0","Zic2"
"Apoe",9.02526877888122e-182,1.29219035863298,0.983,0.803,1.80505375577624e-178,"0","Apoe"
"Calcrl",2.78359709189189e-181,1.99600663692073,0.851,0.553,5.56719418378379e-178,"0","Calcrl"
"Grk3",3.82502961052657e-180,1.48841979365983,0.958,0.649,7.65005922105314e-177,"0","Grk3"
"Boc",5.11911234172346e-179,1.69492699587719,0.889,0.413,1.02382246834469e-175,"0","Boc"
"Trib1",1.71657731312895e-177,2.04514356926351,0.884,0.46,3.43315462625789e-174,"0","Trib1"
"Csmd1",7.764593428674e-177,1.77185945779644,0.957,0.808,1.5529186857348e-173,"0","Csmd1"
"Tmem255b",6.55076249328896e-174,1.90448533961276,0.861,0.67,1.31015249865779e-170,"0","Tmem255b"
"Tacc2",5.60690030781247e-172,1.95036346253429,0.889,0.689,1.12138006156249e-168,"0","Tacc2"
"Olfm3",5.96239732579828e-169,1.39292839359806,0.876,0.668,1.19247946515966e-165,"0","Olfm3"
"Gprasp2",1.57337220538371e-166,1.67652894756784,0.973,0.758,3.14674441076741e-163,"0","Gprasp2"
"Etv5",2.63989254600133e-165,1.74849080583055,0.942,0.766,5.27978509200266e-162,"0","Etv5"
"Frmd3",1.78015379352735e-162,1.46260370140067,0.916,0.611,3.56030758705469e-159,"0","Frmd3"
"Fanca",1.86549056413544e-161,1.19451219563212,0.642,0.252,3.73098112827088e-158,"0","Fanca"
"Ablim3",1.92396476770213e-160,1.17426475903085,0.884,0.48,3.84792953540426e-157,"0","Ablim3"
