"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdgfra",0,2.54993211114593,0.998,0.651,0,"0","Pdgfra"
"Matn4",0,2.41153883470124,0.999,0.744,0,"0","Matn4"
"Cspg5",0,2.33938370573749,0.993,0.791,0,"0","Cspg5"
"Myt1",0,2.12017001165441,0.998,0.81,0,"0","Myt1"
"Ptprz1",0,2.22717267775019,1,0.845,0,"0","Ptprz1"
"Pcdh15",0,2.14516435742325,1,0.845,0,"0","Pcdh15"
"Bcan",5.806743476627e-307,1.86491570571631,1,0.75,1.1613486953254e-303,"0","Bcan"
"Baiap3",2.01067155410972e-296,1.29360017796552,0.934,0.312,4.02134310821945e-293,"0","Baiap3"
"Atp1a2",5.35268159942089e-294,2.23538156693445,0.998,0.801,1.07053631988418e-290,"0","Atp1a2"
"Mtss2",1.50317744565784e-293,2.00405643603343,0.993,0.754,3.00635489131568e-290,"0","Mtss2"
"Lhfpl3",2.77982753745868e-287,2.28730023472107,0.991,0.798,5.55965507491737e-284,"0","Lhfpl3"
"Mmp15",4.84741479432446e-282,2.42095926080352,0.973,0.759,9.69482958864892e-279,"0","Mmp15"
"Serpine2",3.7579878688255e-276,2.20036104940152,0.972,0.822,7.51597573765101e-273,"0","Serpine2"
"Cspg4",4.08740893061871e-276,2.03238586364753,0.971,0.523,8.17481786123741e-273,"0","Cspg4"
"Xylt1",3.71997315692842e-275,2.08001575030647,0.985,0.735,7.43994631385685e-272,"0","Xylt1"
"Emid1",1.42084299188345e-272,2.06448927987042,0.982,0.53,2.84168598376689e-269,"0","Emid1"
"Lrp1",8.45333216094661e-263,1.76210657340406,0.987,0.796,1.69066643218932e-259,"0","Lrp1"
"Etv4",1.56835593384935e-251,2.2963069737608,0.961,0.463,3.13671186769871e-248,"0","Etv4"
"Rgcc",2.65737526078504e-250,2.06267945727977,0.977,0.647,5.31475052157007e-247,"0","Rgcc"
"Spry1",3.62235438923916e-246,2.40274527009515,0.953,0.569,7.24470877847832e-243,"0","Spry1"
"Mki67",1.87103383163202e-241,0.853986833912165,0.917,0.349,3.74206766326404e-238,"0","Mki67"
"Vegfa",6.98129460296372e-239,2.19097441355999,0.984,0.67,1.39625892059274e-235,"0","Vegfa"
"Gpc5",1.04560943097845e-232,1.94100804265677,0.946,0.672,2.09121886195689e-229,"0","Gpc5"
"Vcan",8.79316551531764e-232,1.76301306408164,0.986,0.611,1.75863310306353e-228,"0","Vcan"
"C1ql1",1.16402633680751e-231,1.98002284381068,0.953,0.661,2.32805267361502e-228,"0","C1ql1"
"Smoc2",3.2207610491715e-230,1.5206284235194,0.919,0.402,6.441522098343e-227,"0","Smoc2"
"Exo1",1.41697624025957e-228,1.18370720207313,0.919,0.442,2.83395248051914e-225,"0","Exo1"
"Syt10",3.0878593408477e-218,1.22378078163666,0.945,0.643,6.1757186816954e-215,"0","Syt10"
"Kank2",8.63066555992018e-218,0.538794020512385,0.962,0.632,1.72613311198404e-214,"0","Kank2"
"Uhrf1",3.68089171663496e-217,1.1459413772896,0.861,0.369,7.36178343326992e-214,"0","Uhrf1"
"Otx1",6.03114202787239e-215,1.99217288413417,0.803,0.277,1.20622840557448e-211,"0","Otx1"
"Slc38a3",7.93893728074331e-214,2.09519257265177,0.924,0.609,1.58778745614866e-210,"0","Slc38a3"
"Adm",2.91213579226831e-213,2.60537638802718,0.88,0.497,5.82427158453663e-210,"0","Adm"
"Dner",3.24714030250038e-213,2.20960549119589,0.957,0.667,6.49428060500076e-210,"0","Dner"
"Calcrl",3.32315170999266e-211,2.09967645485736,0.909,0.6,6.64630341998532e-208,"0","Calcrl"
"Spry4",1.05345060328007e-209,2.21536820832629,0.896,0.428,2.10690120656015e-206,"0","Spry4"
"Ntrk3",1.40143876486838e-206,1.80106342590819,0.964,0.762,2.80287752973676e-203,"0","Ntrk3"
"Celf6",4.64265474009878e-206,1.04258755025691,0.919,0.355,9.28530948019756e-203,"0","Celf6"
"Tafa1",5.87387087964739e-206,1.8864546909909,0.875,0.408,1.17477417592948e-202,"0","Tafa1"
"Dnah9",3.7751085658703e-197,1.28139794705913,0.894,0.428,7.5502171317406e-194,"0","Dnah9"
"Gpr37l1",4.11361980858836e-197,1.56923487099336,0.965,0.749,8.22723961717672e-194,"0","Gpr37l1"
"Megf11",1.52130811832139e-196,2.23566548555053,0.911,0.59,3.04261623664279e-193,"0","Megf11"
"Unc13c",1.86904618667349e-195,2.01806032186625,0.912,0.486,3.73809237334697e-192,"0","Unc13c"
"Inhba",2.08513521225624e-195,1.88536261304404,0.923,0.526,4.17027042451247e-192,"0","Inhba"
"Zeb1",5.40399006702945e-193,2.07047301701875,0.945,0.755,1.08079801340589e-189,"0","Zeb1"
"Pcdh18",1.12498661795138e-192,0.871520306774198,0.866,0.343,2.24997323590276e-189,"0","Pcdh18"
"Pid1",2.24878969424286e-192,1.83859158996943,0.936,0.7,4.49757938848573e-189,"0","Pid1"
"Mgat5b",4.34743806564508e-192,1.96544093389471,0.953,0.73,8.69487613129015e-189,"0","Mgat5b"
"Bend6",3.94921799986526e-191,1.80676065285662,0.942,0.547,7.89843599973051e-188,"0","Bend6"
"Col18a1",6.76517384883243e-187,2.34314707493763,0.801,0.489,1.35303476976649e-183,"0","Col18a1"
"Has2",1.36770515831291e-184,1.80438496484062,0.825,0.349,2.73541031662582e-181,"0","Has2"
"Plcd4",2.0974499646014e-184,2.2153292668332,0.86,0.417,4.19489992920281e-181,"0","Plcd4"
"Gpr17",1.51926399992692e-183,0.930782870967535,1,0.857,3.03852799985384e-180,"0","Gpr17"
"Spon1",4.4234058122865e-182,1.71324234201487,0.933,0.618,8.846811624573e-179,"0","Spon1"
"Abhd2",1.24498536339248e-181,1.62670655175408,0.955,0.773,2.48997072678497e-178,"0","Abhd2"
"Lhx2",1.91402123983365e-181,1.46858571693902,0.851,0.445,3.82804247966731e-178,"0","Lhx2"
"Agap2",9.36548510870748e-181,1.75757844057915,0.971,0.715,1.8730970217415e-177,"0","Agap2"
"Midn",1.93456797728088e-179,1.9653686247521,0.924,0.762,3.86913595456176e-176,"0","Midn"
"Bcl6",4.30648128606447e-175,2.24012263232221,0.88,0.474,8.61296257212895e-172,"0","Bcl6"
"Tnc",1.84196408729324e-172,2.20234271306667,0.842,0.484,3.68392817458648e-169,"0","Tnc"
"Gsap",2.311179132675e-171,2.11652215493848,0.832,0.41,4.62235826535001e-168,"0","Gsap"
"Col24a1",6.95644549948445e-171,0.916605579151211,0.88,0.504,1.39128909989689e-167,"0","Col24a1"
"Pik3cd",8.78793649119904e-171,0.822562450194417,0.95,0.665,1.75758729823981e-167,"0","Pik3cd"
"Ptprn",6.02953075615308e-170,1.64675861039171,0.987,0.79,1.20590615123062e-166,"0","Ptprn"
"Astn1",1.51494822083235e-169,1.84198786888088,0.939,0.753,3.0298964416647e-166,"0","Astn1"
