"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igsf5",1.02724077952004e-269,0.530745398733068,0.593,0.143,2.05448155904008e-266,"0","Igsf5"
"Sox17",2.27155459190642e-265,1.00733066624248,0.89,0.2,4.54310918381285e-262,"0","Sox17"
"Crybb1",1.31221498807831e-241,1.25440030799247,0.908,0.292,2.62442997615661e-238,"0","Crybb1"
"Col3a1",1.47914347929109e-241,1.61252083765078,0.988,0.572,2.95828695858219e-238,"0","Col3a1"
"Cenpf",1.95398781215047e-186,0.749461671593281,0.985,0.692,3.90797562430094e-183,"0","Cenpf"
"Ascl1",8.28252694022915e-174,0.616143399125956,0.991,0.703,1.65650538804583e-170,"0","Ascl1"
"Col1a2",1.10096126552449e-171,0.78932524998361,0.983,0.607,2.20192253104897e-168,"0","Col1a2"
"Tyrobp",3.38177419682852e-171,0.34254031888251,0.949,0.451,6.76354839365703e-168,"0","Tyrobp"
"Col12a1",4.7562373786231e-169,1.03331766853497,0.982,0.626,9.5124747572462e-166,"0","Col12a1"
"Aurka",2.49027652677862e-153,0.367085877700295,0.982,0.664,4.98055305355723e-150,"0","Aurka"
"Adm",1.20468015472413e-146,0.526369569604514,0.962,0.426,2.40936030944827e-143,"0","Adm"
"Tesc",1.13961574535267e-139,1.65211979043872,0.806,0.349,2.27923149070534e-136,"0","Tesc"
"Igfbpl1",6.34438038006301e-137,0.40594521689169,0.977,0.722,1.2688760760126e-133,"0","Igfbpl1"
"Rspo2",7.95956523949454e-137,0.654360162295935,0.896,0.511,1.59191304789891e-133,"0","Rspo2"
"Pipox",3.28982833976348e-136,0.279765546376282,0.973,0.588,6.57965667952696e-133,"0","Pipox"
"Rgs10",7.2720811590965e-136,1.05914808289191,0.893,0.564,1.4544162318193e-132,"0","Rgs10"
"Apcdd1",7.67818264668133e-133,0.760892329630426,0.97,0.559,1.53563652933627e-129,"0","Apcdd1"
"Cyp4f15",6.15725080668577e-131,0.382246574495549,0.982,0.616,1.23145016133715e-127,"0","Cyp4f15"
"Meig1",4.65588675805068e-127,0.278947243637215,0.831,0.353,9.31177351610135e-124,"0","Meig1"
"Grhl1",1.41878913232393e-120,0.696981470325411,0.959,0.587,2.83757826464786e-117,"0","Grhl1"
"Pdgfrb",2.19126314753792e-120,0.36883423779008,0.884,0.4,4.38252629507584e-117,"0","Pdgfrb"
"Kcnj9",3.97195639374571e-120,0.5553100693707,0.949,0.546,7.94391278749141e-117,"0","Kcnj9"
"Isl1",6.04888857506446e-117,1.1011002810431,0.87,0.59,1.20977771501289e-113,"0","Isl1"
"Kif20a",1.74351974581239e-114,0.372538788090631,0.86,0.565,3.48703949162477e-111,"0","Kif20a"
"Syk",6.62691954660249e-113,0.722130498623401,0.81,0.404,1.3253839093205e-109,"0","Syk"
"Opalin",1.0031867716971e-108,2.2593258083724,0.47,0.213,2.00637354339421e-105,"0","Opalin"
"Col2a1",1.71345439893104e-106,1.03389035485794,0.822,0.563,3.42690879786208e-103,"0","Col2a1"
"Gda",4.70688867670693e-101,0.743122162760982,0.976,0.62,9.41377735341386e-98,"0","Gda"
"Jag1",5.93459546896465e-98,0.251817656475893,0.983,0.661,1.18691909379293e-94,"0","Jag1"
"Il12rb1",9.37042329615525e-97,0.329015394817897,0.37,0.219,1.87408465923105e-93,"0","Il12rb1"
"Slc35d3",4.42866460004748e-96,0.719306174963495,0.849,0.504,8.85732920009497e-93,"0","Slc35d3"
"Cd86",8.66828812565292e-94,0.445251071254356,0.752,0.386,1.73365762513058e-90,"0","Cd86"
"Gjb6",6.26331380695212e-92,0.669311922122873,0.745,0.342,1.25266276139042e-88,"0","Gjb6"
"Trp53i11",4.7631506985934e-90,0.282464993088902,0.961,0.694,9.5263013971868e-87,"0","Trp53i11"
"Hapln2",1.55908618880415e-85,2.06099026030241,0.627,0.336,3.11817237760829e-82,"0","Hapln2"
"Tpbg",1.25662590081796e-81,0.456692937313838,0.973,0.725,2.51325180163593e-78,"0","Tpbg"
"Cbs",3.18177877850679e-79,0.307121969262199,0.905,0.661,6.36355755701357e-76,"0","Cbs"
"Gpr83",2.20311967100408e-77,1.16637170033794,0.792,0.488,4.40623934200815e-74,"0","Gpr83"
"H3c4",1.38472725000238e-69,1.26866302586209,0.762,0.538,2.76945450000476e-66,"0","H3c4"
"Gpr4",8.92579420396372e-69,0.251456809627468,0.798,0.434,1.78515884079274e-65,"0","Gpr4"
"Entpd2",6.78957035035658e-68,0.40934091054714,0.928,0.668,1.35791407007132e-64,"0","Entpd2"
"Etv1",6.91167325209245e-68,0.446315083204438,0.937,0.663,1.38233465041849e-64,"0","Etv1"
"Gfap",1.20785432347683e-66,0.432205980981926,0.845,0.552,2.41570864695366e-63,"0","Gfap"
"Ngfr",3.62375798456115e-63,1.57297454908039,0.676,0.389,7.24751596912229e-60,"0","Ngfr"
"Car14",9.21341205231186e-58,1.99479682771659,0.589,0.398,1.84268241046237e-54,"0","Car14"
"Adgrf5",1.41351428823736e-56,0.95120117304825,0.413,0.274,2.82702857647473e-53,"0","Adgrf5"
"Car4",3.59105781718489e-52,1.22331367244152,0.614,0.399,7.18211563436979e-49,"0","Car4"
"Gng7",1.24357929490849e-49,1.03884818449802,0.833,0.663,2.48715858981697e-46,"0","Gng7"
"Carns1",7.61103346691047e-47,1.71767155764181,0.559,0.351,1.52220669338209e-43,"0","Carns1"
"Rasgrp3",2.04975205592317e-43,1.34974345112801,0.346,0.299,4.09950411184633e-40,"0","Rasgrp3"
"Apod",1.49782221653016e-39,0.902905615115181,0.593,0.384,2.99564443306033e-36,"0","Apod"
"Tma16",1.72660546626976e-38,1.09588175579331,0.72,0.489,3.45321093253953e-35,"0","Tma16"
"Tac2",1.31178947738101e-35,0.268781052977006,0.529,0.364,2.62357895476202e-32,"0","Tac2"
"Cyp1b1",2.9506808382077e-34,0.322439462552608,0.464,0.31,5.90136167641541e-31,"0","Cyp1b1"
"Cdh19",1.26612316612299e-32,1.19328524288396,0.563,0.411,2.53224633224598e-29,"0","Cdh19"
"Dbn1",1.08611390212883e-30,0.36167762520893,0.994,0.888,2.17222780425767e-27,"0","Dbn1"
"Sncb",9.47796440508785e-29,0.302393799489092,0.827,0.587,1.89559288101757e-25,"0","Sncb"
"Dnah12",1.88277501660286e-28,0.822060373821829,0.491,0.413,3.76555003320573e-25,"0","Dnah12"
"Anln",1.41742392675562e-26,1.50121890341017,0.667,0.611,2.83484785351124e-23,"0","Anln"
"Ankrd33b",5.88680258026897e-26,1.06809180725504,0.387,0.358,1.17736051605379e-22,"0","Ankrd33b"
"Pcsk2",7.70501511851355e-23,0.329081248267794,0.968,0.791,1.54100302370271e-19,"0","Pcsk2"
"Fzd5",2.91617550774366e-22,0.615156149117377,0.623,0.508,5.83235101548731e-19,"0","Fzd5"
"Larp1b",7.29976722043722e-22,0.363425424344719,0.857,0.617,1.45995344408744e-18,"0","Larp1b"
