"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Mon2",0.000471604935607497,-1.65439367542017,0.259,0.8,1,"Mon2","COP","P56","Down"
"Kyat1",0.000917236289507905,4.83166113784075,0.37,0,1,"Kyat1","COP","P56","Up"
"Pus7",0.00123462782718628,2.14209471398065,0.593,0.16,1,"Pus7","COP","P56","Up"
"Pcsk1n",0.00124145387158126,-2.36735218576858,0.222,0.64,1,"Pcsk1n","COP","P56","Down"
"Tpcn2",0.00171521026416192,-4.66008228991986,0,0.32,1,"Tpcn2","COP","P56","Down"
"Naglu",0.00171521026416192,-4.51467767242838,0,0.32,1,"Naglu","COP","P56","Down"
"Ikbkg",0.00171521026416192,-4.69274927776455,0,0.32,1,"Ikbkg","COP","P56","Down"
"Inha",0.00222241256850096,-2.89663494716967,0.074,0.44,1,"Inha","COP","P56","Down"
"Gmeb1",0.00318372137013958,3.25915730716863,0.37,0.04,1,"Gmeb1","COP","P56","Up"
"Srsf9",0.003470870187882,1.41379948731769,0.667,0.28,1,"Srsf9","COP","P56","Up"
"Tnk2",0.00352268355328161,-1.10471165588115,0.407,0.8,1,"Tnk2","COP","P56","Down"
"Pgam1",0.00370523015860903,4.65127117873077,0.296,0,1,"Pgam1","COP","P56","Up"
"Zbtb14",0.00371115683402716,-4.41702507294573,0,0.28,1,"Zbtb14","COP","P56","Down"
"Rab14",0.00372412808010867,-1.76839835886723,0.259,0.64,1,"Rab14","COP","P56","Down"
"Rrs1",0.00406766027729371,2.25824078825597,0.444,0.08,1,"Rrs1","COP","P56","Up"
"Rsbn1",0.00406766027729371,2.28228514685903,0.444,0.08,1,"Rsbn1","COP","P56","Up"
"Srp19",0.00421069361593373,-2.19547386333456,0.111,0.48,1,"Srp19","COP","P56","Down"
"Hnrnpk",0.00431516135024824,-1.10775147491589,0.407,0.88,1,"Hnrnpk","COP","P56","Down"
"Smg1",0.00441742060159811,-1.43910083106597,0.185,0.64,1,"Smg1","COP","P56","Down"
"Dido1",0.00450851676970283,-1.18349013800225,0.222,0.68,1,"Dido1","COP","P56","Down"
"Pten",0.00486635218666691,1.39581835500969,0.704,0.36,1,"Pten","COP","P56","Up"
"Efemp2",0.00525296815725624,-2.59463526244389,0.074,0.4,1,"Efemp2","COP","P56","Down"
"Lsm4",0.00595540179678856,-3.47638886199698,0.037,0.32,1,"Lsm4","COP","P56","Down"
"Ado",0.00595540179678856,-3.673969434676,0.037,0.32,1,"Ado","COP","P56","Down"
"Phf20",0.00607176160333205,-2.04723974608364,0.111,0.44,1,"Phf20","COP","P56","Down"
"Bin1",0.00614201908916939,0.847512411714733,0.963,0.8,1,"Bin1","COP","P56","Up"
"Hsph1",0.00637104176086934,-1.1681255011768,0.593,0.88,1,"Hsph1","COP","P56","Down"
"Mbip",0.00673675272712879,-1.37067367953643,0.444,0.76,1,"Mbip","COP","P56","Down"
"Utp11",0.00689722392288793,2.09887471141951,0.481,0.16,1,"Utp11","COP","P56","Up"
"Glb1l",0.00723914928602561,4.23704032925888,0.259,0,1,"Glb1l","COP","P56","Up"
"Tmem161b",0.00732536899667995,-1.47491955989219,0.222,0.6,1,"Tmem161b","COP","P56","Down"
