"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Sdc3",0.00173358891548417,-5.36886485835896,0,1,1,"Sdc3","Granule_DG","P23","Down"
"Ssh2",0.00173358891548417,-5.36886485835896,0,1,1,"Ssh2","Granule_DG","P23","Down"
"Grina",0.00332918701075051,-3.52407084550779,0.125,1,1,"Grina","Granule_DG","P23","Down"
"Cd81",0.00633884377895563,-2.78042523970734,0.375,1,1,"Cd81","Granule_DG","P23","Down"
"Ttyh1",0.00736637853697335,5.1723077827173,1,0,1,"Ttyh1","Granule_DG","P23","Up"
"Rhob",0.00736637853697335,-1.89620417187664,0.5,1,1,"Rhob","Granule_DG","P23","Down"
"Leng8",0.00836037432462178,2.06873817645638,1,0.5,1,"Leng8","Granule_DG","P23","Up"
"Zcchc17",0.0103556732947481,-4.79029698911449,0,0.75,1,"Zcchc17","Granule_DG","P23","Down"
"Prxl2b",0.0103556732947481,-5.15180843299833,0,0.75,1,"Prxl2b","Granule_DG","P23","Down"
"Upf1",0.0103556732947481,-5.15180843299833,0,0.75,1,"Upf1","Granule_DG","P23","Down"
"Mat2b",0.0103556732947481,-5.15884891393085,0,0.75,1,"Mat2b","Granule_DG","P23","Down"
"Gria1",0.0103556732947481,-5.55215739977647,0,0.75,1,"Gria1","Granule_DG","P23","Down"
"Zzef1",0.0103556732947481,-4.79029698911449,0,0.75,1,"Zzef1","Granule_DG","P23","Down"
"Pitpnc1",0.0103556732947481,-4.79029698911449,0,0.75,1,"Pitpnc1","Granule_DG","P23","Down"
"Ripk1",0.0103556732947481,-4.79029698911449,0,0.75,1,"Ripk1","Granule_DG","P23","Down"
"Gramd3",0.0103556732947481,-5.53747799810449,0,0.75,1,"Gramd3","Granule_DG","P23","Down"
"Fundc1",0.0103556732947481,-4.90461258853718,0,0.75,1,"Fundc1","Granule_DG","P23","Down"
"Phf6",0.0103556732947481,-5.15180843299833,0,0.75,1,"Phf6","Granule_DG","P23","Down"
"mt-Nd2",0.0103556732947481,-5.97394442277207,0,0.75,1,"mt-Nd2","Granule_DG","P23","Down"
"mt-Nd4l",0.0103556732947481,-4.79029698911449,0,0.75,1,"mt-Nd4l","Granule_DG","P23","Down"
"Copg1",0.0174305985159386,4.54198663493675,0.875,0,1,"Copg1","Granule_DG","P23","Up"
"Gpr162",0.0174305985159386,4.16316259579017,0.875,0,1,"Gpr162","Granule_DG","P23","Up"
"Matk",0.0174305985159386,4.45196044866208,0.875,0,1,"Matk","Granule_DG","P23","Up"
"Igsf11",0.0179131840063586,-3.02217528805957,0.125,1,1,"Igsf11","Granule_DG","P23","Down"
"mt-Atp8",0.0195942164261451,-3.26475932033338,0.5,1,1,"mt-Atp8","Granule_DG","P23","Down"
"Pak1",0.0209399656905067,-1.75225965686539,0.625,1,1,"Pak1","Granule_DG","P23","Down"
"Gls",0.0216256142161174,1.93839103754614,1,0.5,1,"Gls","Granule_DG","P23","Up"
"Nptn",0.0216256142161174,1.81564258683768,1,0.5,1,"Nptn","Granule_DG","P23","Up"
"Snhg11",0.0218560090983137,2.26820472494356,1,0.75,1,"Snhg11","Granule_DG","P23","Up"
"Mfsd8",0.0262142426679836,-3.50571375480259,0.125,0.75,1,"Mfsd8","Granule_DG","P23","Down"
"Gdap2",0.0262142426679836,-3.01804930468537,0.125,0.75,1,"Gdap2","Granule_DG","P23","Down"
"Gnai3",0.0262142426679836,-2.94550297626333,0.125,0.75,1,"Gnai3","Granule_DG","P23","Down"
"Nfia",0.0262142426679836,-3.37496726498829,0.125,0.75,1,"Nfia","Granule_DG","P23","Down"
"Rnf34",0.0262142426679836,-3.50571375480259,0.125,0.75,1,"Rnf34","Granule_DG","P23","Down"
"Srgap3",0.0262142426679836,-3.23463730607125,0.125,0.75,1,"Srgap3","Granule_DG","P23","Down"
"Cnot1",0.0262142426679836,-3.05981857568601,0.125,0.75,1,"Cnot1","Granule_DG","P23","Down"
"Hepacam",0.0262142426679836,-3.53398241847487,0.125,0.75,1,"Hepacam","Granule_DG","P23","Down"
"Sdhd",0.0262142426679836,-2.94550297626333,0.125,0.75,1,"Sdhd","Granule_DG","P23","Down"
"Akap5",0.0262142426679836,-3.3009496387736,0.125,0.75,1,"Akap5","Granule_DG","P23","Down"
"Ssbp2",0.0262142426679836,-2.90060067199546,0.125,0.75,1,"Ssbp2","Granule_DG","P23","Down"
"Sorbs3",0.0262142426679836,-3.24022543015587,0.125,0.75,1,"Sorbs3","Granule_DG","P23","Down"
"Gtf2f2",0.0262142426679836,-3.84527865619453,0.125,0.75,1,"Gtf2f2","Granule_DG","P23","Down"
"Ankrd46",0.0262142426679836,-3.14013645859678,0.125,0.75,1,"Ankrd46","Granule_DG","P23","Down"
"Lztr1",0.0262142426679836,-3.44853595237749,0.125,0.75,1,"Lztr1","Granule_DG","P23","Down"
"Cuedc2",0.0262142426679836,-3.37496726498829,0.125,0.75,1,"Cuedc2","Granule_DG","P23","Down"
"Dctn1",0.0306847015269052,-1.82879039686796,0.5,1,1,"Dctn1","Granule_DG","P23","Down"
"Ppp6r2",0.0306847015269052,-1.5795819764553,0.5,1,1,"Ppp6r2","Granule_DG","P23","Down"
"Dnajb2",0.0370771911844877,4.14298451833454,0.75,0,1,"Dnajb2","Granule_DG","P23","Up"
"Eif4g3",0.0370771911844877,4.29139337909671,0.75,0,1,"Eif4g3","Granule_DG","P23","Up"
"Clock",0.0370771911844877,4.30553318894057,0.75,0,1,"Clock","Granule_DG","P23","Up"
"Phf14",0.0370771911844877,4.29920599181451,0.75,0,1,"Phf14","Granule_DG","P23","Up"
"Iqsec1",0.0370771911844877,4.42951839749632,0.75,0,1,"Iqsec1","Granule_DG","P23","Up"
"Sirt2",0.0370771911844877,4.34137406049216,0.75,0,1,"Sirt2","Granule_DG","P23","Up"
"Sv2b",0.0370771911844877,3.99455147400306,0.75,0,1,"Sv2b","Granule_DG","P23","Up"
"Trim3",0.0370771911844877,4.08739983966909,0.75,0,1,"Trim3","Granule_DG","P23","Up"
"Mical2",0.0370771911844877,5.00388149408257,0.75,0,1,"Mical2","Granule_DG","P23","Up"
"Zwint",0.0370771911844877,4.45158959854604,0.75,0,1,"Zwint","Granule_DG","P23","Up"
"Mef2c",0.0370771911844877,4.50194831338209,0.75,0,1,"Mef2c","Granule_DG","P23","Up"
"Tmem132a",0.0370771911844877,4.13997313584014,0.75,0,1,"Tmem132a","Granule_DG","P23","Up"
"Actr1a",0.0370771911844877,3.94370136319663,0.75,0,1,"Actr1a","Granule_DG","P23","Up"
"Gria3",0.0370771911844877,4.41533197764918,0.75,0,1,"Gria3","Granule_DG","P23","Up"
"Clasrp",0.0380150684853921,2.60470581248851,0.875,0.25,1,"Clasrp","Granule_DG","P23","Up"
"Syngap1",0.0380150684853921,2.66324767119793,0.875,0.25,1,"Syngap1","Granule_DG","P23","Up"
"Apoe",0.0428391367580865,-1.85992369140123,0.375,1,1,"Apoe","Granule_DG","P23","Down"
"Mon2",0.0428391367580865,-1.28028304860505,0.375,1,1,"Mon2","Granule_DG","P23","Down"
"Wasf3",0.043287002861203,-2.42301363305508,0.125,0.75,1,"Wasf3","Granule_DG","P23","Down"
"Epn1",0.043287002861203,-2.4068110188984,0.125,0.75,1,"Epn1","Granule_DG","P23","Down"
"Myo5a",0.043287002861203,-2.86723505196513,0.125,0.75,1,"Myo5a","Granule_DG","P23","Down"
"Slc25a3",0.043287002861203,-2.64932426075786,0.125,0.75,1,"Slc25a3","Granule_DG","P23","Down"
"Cdk17",0.043287002861203,-2.78415131734861,0.125,0.75,1,"Cdk17","Granule_DG","P23","Down"
"Tns3",0.043287002861203,-4.15069871483562,0.125,0.75,1,"Tns3","Granule_DG","P23","Down"
"Usp22",0.043287002861203,-2.47317643291566,0.125,0.75,1,"Usp22","Granule_DG","P23","Down"
"Srsf2",0.043287002861203,-2.53908922811162,0.125,0.75,1,"Srsf2","Granule_DG","P23","Down"
"Zdhhc20",0.043287002861203,-2.6534048275343,0.125,0.75,1,"Zdhhc20","Granule_DG","P23","Down"
"Cdh2",0.043287002861203,-2.35672707826881,0.125,0.75,1,"Cdh2","Granule_DG","P23","Down"
"Siah2",0.046742882729346,-2.33634091108208,0.25,0.75,1,"Siah2","Granule_DG","P23","Down"
"Rere",0.046742882729346,-2.7610679030841,0.25,0.75,1,"Rere","Granule_DG","P23","Down"
"Myo6",0.046742882729346,-3.2577698132512,0.25,0.75,1,"Myo6","Granule_DG","P23","Down"
"Kifbp",0.046742882729346,-2.64943554465185,0.25,0.75,1,"Kifbp","Granule_DG","P23","Down"
"Gpatch8",0.046742882729346,-2.51243229999138,0.25,0.75,1,"Gpatch8","Granule_DG","P23","Down"
"Atp6v1d",0.046742882729346,-2.45065651050477,0.25,0.75,1,"Atp6v1d","Granule_DG","P23","Down"
"Kif13b",0.046742882729346,-2.37856430660096,0.25,0.75,1,"Kif13b","Granule_DG","P23","Down"
"Vbp1",0.046742882729346,-2.1758474249887,0.25,0.75,1,"Vbp1","Granule_DG","P23","Down"
"Ddx5",0.0467844107448692,-1.85227445477542,0.5,1,1,"Ddx5","Granule_DG","P23","Down"
"Ank2",0.0491853513475507,2.05301787118125,1,0.25,1,"Ank2","Granule_DG","P23","Up"
"Tspan7",0.0491853513475507,2.16802197874987,1,0.25,1,"Tspan7","Granule_DG","P23","Up"
"Mink1",0.0491853513475507,1.57518240842813,0.875,0.5,1,"Mink1","Granule_DG","P23","Up"
"Tmem237",0.0501861867689753,-4.42114807545514,0,0.5,1,"Tmem237","Granule_DG","P23","Down"
"Rnf25",0.0501861867689753,-4.02687001686798,0,0.5,1,"Rnf25","Granule_DG","P23","Down"
"Ttll4",0.0501861867689753,-4.25867738767884,0,0.5,1,"Ttll4","Granule_DG","P23","Down"
"Rnpepl1",0.0501861867689753,-4.02687001686798,0,0.5,1,"Rnpepl1","Granule_DG","P23","Down"
"Cdc73",0.0501861867689753,-4.45278526641203,0,0.5,1,"Cdc73","Granule_DG","P23","Down"
"Ssna1",0.0501861867689753,-4.63889102800444,0,0.5,1,"Ssna1","Granule_DG","P23","Down"
"Alkbh3",0.0501861867689753,-4.7560611528622,0,0.5,1,"Alkbh3","Granule_DG","P23","Down"
"Hipk3",0.0501861867689753,-4.7560611528622,0,0.5,1,"Hipk3","Granule_DG","P23","Down"
"Zfp106",0.0501861867689753,-4.59578182398743,0,0.5,1,"Zfp106","Granule_DG","P23","Down"
"Cenpb",0.0501861867689753,-4.02687001686798,0,0.5,1,"Cenpb","Granule_DG","P23","Down"
"Gzf1",0.0501861867689753,-4.25867738767884,0,0.5,1,"Gzf1","Granule_DG","P23","Down"
"Tox2",0.0501861867689753,-4.59578182398743,0,0.5,1,"Tox2","Granule_DG","P23","Down"
"Sclt1",0.0501861867689753,-4.45278526641203,0,0.5,1,"Sclt1","Granule_DG","P23","Down"
"Lhfp",0.0501861867689753,-4.6339876664309,0,0.5,1,"Lhfp","Granule_DG","P23","Down"
"Smg5",0.0501861867689753,-5.26273645947374,0,0.5,1,"Smg5","Granule_DG","P23","Down"
"Ssr2",0.0501861867689753,-4.02687001686798,0,0.5,1,"Ssr2","Granule_DG","P23","Down"
"Msto1",0.0501861867689753,-4.45278526641203,0,0.5,1,"Msto1","Granule_DG","P23","Down"
"St7l",0.0501861867689753,-4.25867738767884,0,0.5,1,"St7l","Granule_DG","P23","Down"
"Stxbp3",0.0501861867689753,-4.25867738767884,0,0.5,1,"Stxbp3","Granule_DG","P23","Down"
"Rtca",0.0501861867689753,-5.03163543852694,0,0.5,1,"Rtca","Granule_DG","P23","Down"
"Lrrc40",0.0501861867689753,-4.46419749736807,0,0.5,1,"Lrrc40","Granule_DG","P23","Down"
"Ubxn2b",0.0501861867689753,-4.63889102800444,0,0.5,1,"Ubxn2b","Granule_DG","P23","Down"
"Smu1",0.0501861867689753,-4.45278526641203,0,0.5,1,"Smu1","Granule_DG","P23","Down"
"Fsd1l",0.0501861867689753,-4.45278526641203,0,0.5,1,"Fsd1l","Granule_DG","P23","Down"
"Prpf4",0.0501861867689753,-4.45278526641203,0,0.5,1,"Prpf4","Granule_DG","P23","Down"
"Tmem59",0.0501861867689753,-4.6339876664309,0,0.5,1,"Tmem59","Granule_DG","P23","Down"
"Nsun4",0.0501861867689753,-4.45278526641203,0,0.5,1,"Nsun4","Granule_DG","P23","Down"
"Hdac1",0.0501861867689753,-4.42114807545514,0,0.5,1,"Hdac1","Granule_DG","P23","Down"
"Clic4",0.0501861867689753,-5.96300041461899,0,0.5,1,"Clic4","Granule_DG","P23","Down"
"Arhgef19",0.0501861867689753,-4.02687001686798,0,0.5,1,"Arhgef19","Granule_DG","P23","Down"
"Icmt",0.0501861867689753,-4.63889102800444,0,0.5,1,"Icmt","Granule_DG","P23","Down"
"Ube2j2",0.0501861867689753,-4.25867738767884,0,0.5,1,"Ube2j2","Granule_DG","P23","Down"
"Paxip1",0.0501861867689753,-4.25867738767884,0,0.5,1,"Paxip1","Granule_DG","P23","Down"
"Prom1",0.0501861867689753,-5.13240246007216,0,0.5,1,"Prom1","Granule_DG","P23","Down"
"Smim20",0.0501861867689753,-4.25867738767884,0,0.5,1,"Smim20","Granule_DG","P23","Down"
"Cplx1",0.0501861867689753,-4.02687001686798,0,0.5,1,"Cplx1","Granule_DG","P23","Down"
"Ankrd13a",0.0501861867689753,-4.45278526641203,0,0.5,1,"Ankrd13a","Granule_DG","P23","Down"
"Hspb8",0.0501861867689753,-4.42114807545514,0,0.5,1,"Hspb8","Granule_DG","P23","Down"
"Kmt5a",0.0501861867689753,-4.42114807545514,0,0.5,1,"Kmt5a","Granule_DG","P23","Down"
"Kdelr2",0.0501861867689753,-4.46419749736807,0,0.5,1,"Kdelr2","Granule_DG","P23","Down"
"Thsd7a",0.0501861867689753,-4.59578182398743,0,0.5,1,"Thsd7a","Granule_DG","P23","Down"
"Bpgm",0.0501861867689753,-4.02687001686798,0,0.5,1,"Bpgm","Granule_DG","P23","Down"
"Prdm5",0.0501861867689753,-4.42114807545514,0,0.5,1,"Prdm5","Granule_DG","P23","Down"
"Nfu1",0.0501861867689753,-4.02687001686798,0,0.5,1,"Nfu1","Granule_DG","P23","Down"
"Rab7",0.0501861867689753,-4.02687001686798,0,0.5,1,"Rab7","Granule_DG","P23","Down"
"Xpc",0.0501861867689753,-4.42114807545514,0,0.5,1,"Xpc","Granule_DG","P23","Down"
"Arpc4",0.0501861867689753,-4.42114807545514,0,0.5,1,"Arpc4","Granule_DG","P23","Down"
"Napa",0.0501861867689753,-4.25867738767884,0,0.5,1,"Napa","Granule_DG","P23","Down"
"Lin37",0.0501861867689753,-4.02687001686798,0,0.5,1,"Lin37","Granule_DG","P23","Down"
"Gabrb3",0.0501861867689753,-4.02687001686798,0,0.5,1,"Gabrb3","Granule_DG","P23","Down"
"Ppp4c",0.0501861867689753,-4.25867738767884,0,0.5,1,"Ppp4c","Granule_DG","P23","Down"
"Prr14",0.0501861867689753,-4.42114807545514,0,0.5,1,"Prr14","Granule_DG","P23","Down"
