"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Fam13c",9.85536322308168e-13,2.35125264105138,0.572,0.164,1.70842721472121e-08,"Fam13c","Mature_OL","P23","Up"
"Hmgcs1",1.98142163104993e-12,-1.93825623966902,0.246,0.634,3.43479439742506e-08,"Hmgcs1","Mature_OL","P23","Down"
"Cyp51",1.46653891165102e-11,-1.43942934019145,0.435,0.784,2.54224520334705e-07,"Cyp51","Mature_OL","P23","Down"
"Wnk1",3.41056910048964e-10,0.561234703206438,0.993,0.963,5.9122215356988e-06,"Wnk1","Mature_OL","P23","Up"
"Msmo1",6.23645243840631e-10,-1.29400831140745,0.471,0.769,1.08108903019773e-05,"Msmo1","Mature_OL","P23","Down"
"Sec11c",1.54023594986363e-08,1.35060795044624,0.732,0.47,0.000266999901908859,"Sec11c","Mature_OL","P23","Up"
"Fdps",5.75225964282853e-08,-2.15040095552606,0.138,0.418,0.000997154209084325,"Fdps","Mature_OL","P23","Down"
"Dhcr24",8.21611524766675e-08,-1.27142243377566,0.341,0.649,0.00142426357818303,"Dhcr24","Mature_OL","P23","Down"
"Acsl3",1.2322810097902e-07,-1.40224357378973,0.471,0.701,0.0021361591304713,"Acsl3","Mature_OL","P23","Down"
"Utp14b",2.69719673911479e-07,-1.26417226902473,0.326,0.597,0.00467559054725548,"Utp14b","Mature_OL","P23","Down"
"Fdft1",3.54310128503208e-07,-1.40000113603951,0.275,0.552,0.00614196607760311,"Fdft1","Mature_OL","P23","Down"
"Atp11a",4.92420405623403e-07,0.963098904855115,0.855,0.739,0.00853610773148169,"Atp11a","Mature_OL","P23","Up"
"Ldlr",6.64453715224229e-07,-1.44606806902575,0.188,0.455,0.011518305153412,"Ldlr","Mature_OL","P23","Down"
"Sort1",1.16101262335922e-06,0.884756121845232,0.877,0.657,0.020126153825932,"Sort1","Mature_OL","P23","Up"
"Car14",1.62295043202321e-06,0.842635324483273,0.841,0.694,0.0281338457391223,"Car14","Mature_OL","P23","Up"
"Atp1b3",2.3654581044498e-06,0.991344229060316,0.761,0.53,0.0410052162406373,"Atp1b3","Mature_OL","P23","Up"
"Insig1",2.47976342467846e-06,-1.09319361872385,0.435,0.657,0.0429866989668011,"Insig1","Mature_OL","P23","Down"
"Sqle",3.12517095243762e-06,-1.4768838548019,0.29,0.515,0.0541748384605061,"Sqle","Mature_OL","P23","Down"
"Tulp4",6.47970904742735e-06,0.737505909844803,0.826,0.761,0.112325756337153,"Tulp4","Mature_OL","P23","Up"
"Aacs",8.1161500198583e-06,-1.47189922771339,0.196,0.44,0.140693460594244,"Aacs","Mature_OL","P23","Down"
"Amer2",9.54261977268775e-06,-2.22667892449088,0.08,0.276,0.165421313759542,"Amer2","Mature_OL","P23","Down"
"Kctd13",1.1650060915152e-05,-0.565510281939329,0.79,0.918,0.20195380596416,"Kctd13","Mature_OL","P23","Down"
"Tmc7",1.21507117450381e-05,1.85717857072133,0.333,0.112,0.210632588100236,"Tmc7","Mature_OL","P23","Up"
"Acly",1.28718202618689e-05,-1.10953275271968,0.413,0.634,0.223133004239498,"Acly","Mature_OL","P23","Down"
