"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Olig2",2.71172129534989e-15,0.533498783965241,0.955,0.914,4.70076886548904e-11,"Olig2","OPC_1","P08","Up"
"Cd9",1.18197526232177e-11,0.784790946570547,0.76,0.588,2.04895411723478e-07,"Cd9","OPC_1","P08","Up"
"Uty",1.68762385004799e-10,-1.08235353429024,0.22,0.424,2.92549594405819e-06,"Uty","OPC_1","P08","Down"
"Col9a3",4.43649671411352e-10,0.836672197202952,0.664,0.518,7.69066705391579e-06,"Col9a3","OPC_1","P08","Up"
"Cntn6",8.89105705993036e-09,1.27923765209098,0.345,0.155,0.000154126474133893,"Cntn6","OPC_1","P08","Up"
"Slc27a1",5.71999866493863e-08,-0.828311089769048,0.284,0.473,0.000991561768567112,"Slc27a1","OPC_1","P08","Down"
"Fabp7",8.01273289575465e-08,-0.474563206063114,0.769,0.869,0.00138900724747907,"Fabp7","OPC_1","P08","Down"
"Tnr",9.17316221871833e-08,0.486796111854199,0.913,0.849,0.00159016767061482,"Tnr","OPC_1","P08","Up"
"Tspan7",2.31522922651726e-07,0.626099597555414,0.69,0.522,0.00401344986416767,"Tspan7","OPC_1","P08","Up"
"Sdc3",4.40875484115837e-07,0.452857900796445,0.824,0.686,0.00764257651714804,"Sdc3","OPC_1","P08","Up"
"Serpine2",5.16846790455127e-07,0.39817201169605,0.92,0.865,0.00895953911253962,"Serpine2","OPC_1","P08","Up"
"Ednrb",9.04245759351582e-07,0.456033819749003,0.852,0.792,0.0156751002383597,"Ednrb","OPC_1","P08","Up"
"Cd81",1.36094551317155e-06,0.490009023924478,0.761,0.727,0.0235919904708288,"Cd81","OPC_1","P08","Up"
"Kdm5d",1.50261634573187e-06,-0.860908679790837,0.203,0.355,0.026047854353262,"Kdm5d","OPC_1","P08","Down"
"Vcan",2.2240981574873e-06,0.526746723224954,0.692,0.576,0.0385547415600423,"Vcan","OPC_1","P08","Up"
"mt-Nd5",2.35791522438311e-06,1.35604685767565,0.27,0.131,0.0408744604146812,"mt-Nd5","OPC_1","P08","Up"
"C1ql1",3.67359798268259e-06,0.510567492707472,0.714,0.612,0.0636818210298027,"C1ql1","OPC_1","P08","Up"
"mt-Nd1",5.31535026566783e-06,0.965974736915375,0.393,0.245,0.0921415968553518,"mt-Nd1","OPC_1","P08","Up"
"Cadm4",1.23513740310743e-05,0.352204532878597,0.822,0.706,0.214111068828672,"Cadm4","OPC_1","P08","Up"
"mt-Co2",2.32466261311112e-05,0.844493261568621,0.507,0.396,0.402980263982813,"mt-Co2","OPC_1","P08","Up"
"Itprid2",3.52120353954137e-05,0.714311446930692,0.426,0.294,0.610400633579496,"Itprid2","OPC_1","P08","Up"
"Mfge8",4.01697996541716e-05,1.03024714866422,0.317,0.2,0.696343477005064,"Mfge8","OPC_1","P08","Up"
"Eif2s3y",4.07119264588458e-05,-0.437150322278081,0.398,0.551,0.705741245164092,"Eif2s3y","OPC_1","P08","Down"
"mt-Atp8",5.29147775443908e-05,0.751052038392457,0.493,0.363,0.917277668732015,"mt-Atp8","OPC_1","P08","Up"
