"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Col9a3",2.85001325566195e-08,0.963363546533377,0.643,0.372,0.000494049797868999,"Col9a3","OPC","P23","Up"
"Mfge8",2.72253391210637e-07,1.35130693254473,0.421,0.183,0.0047195125366364,"Mfge8","OPC","P23","Up"
"Col27a1",3.43596897570952e-06,1.93574804199463,0.253,0.078,0.0595625221939245,"Col27a1","OPC","P23","Up"
"Grk3",1.13315280960172e-05,1.75560936877496,0.258,0.089,0.196432039544458,"Grk3","OPC","P23","Up"
"Znhit6",3.79631067518087e-05,-0.975880161474798,0.262,0.461,0.658090455542603,"Znhit6","OPC","P23","Down"
"Olig2",5.31106617077921e-05,0.578141465998488,0.846,0.722,0.920673320704576,"Olig2","OPC","P23","Up"
"Mical3",7.80326919408482e-05,0.797341417920194,0.48,0.306,1,"Mical3","OPC","P23","Up"
"Zbtb16",0.000158085920106587,-0.832693892641686,0.33,0.511,1,"Zbtb16","OPC","P23","Down"
"Fry",0.000266708526597157,-0.54930713870658,0.575,0.728,1,"Fry","OPC","P23","Down"
"Slc6a1",0.000364931111105174,0.341670430478126,0.9,0.822,1,"Slc6a1","OPC","P23","Up"
"Atp1a3",0.000737140183141514,-0.821656847062215,0.231,0.389,1,"Atp1a3","OPC","P23","Down"
"Ifi27",0.000831523308217787,-1.29752675517932,0.14,0.272,1,"Ifi27","OPC","P23","Down"
"Cntn6",0.000878649366392423,0.861433456241683,0.403,0.244,1,"Cntn6","OPC","P23","Up"
"Ptprs",0.000892743019049005,0.326124816935413,0.919,0.883,1,"Ptprs","OPC","P23","Up"
"Zzz3",0.000930282202179045,-0.718214741338833,0.235,0.389,1,"Zzz3","OPC","P23","Down"
"Scd2",0.00100330887087137,-0.628151971301371,0.421,0.539,1,"Scd2","OPC","P23","Down"
"Apoe",0.00104074365543185,-0.424570544696394,0.792,0.867,1,"Apoe","OPC","P23","Down"
"Cpeb4",0.00119517277099251,0.59490227181929,0.498,0.361,1,"Cpeb4","OPC","P23","Up"
"Son",0.00123297742086901,-0.344794900981964,0.819,0.839,1,"Son","OPC","P23","Down"
"Ube2m",0.00129019968142575,-0.894881372479816,0.163,0.294,1,"Ube2m","OPC","P23","Down"
"Cntln",0.00131326297919916,-0.784415710768865,0.195,0.339,1,"Cntln","OPC","P23","Down"
"Sh3bp4",0.00155323141870811,0.592048732641256,0.561,0.394,1,"Sh3bp4","OPC","P23","Up"
