"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Ptgds",7.27573013502405e-19,2.38121493288219,0.513,0.243,1.26124781890642e-14,"Ptgds","MFOL","P23","Up"
"Fam13c",2.07376041924796e-14,1.77296014642726,0.408,0.167,3.59486368676633e-10,"Fam13c","MFOL","P23","Up"
"Olig2",3.02393014596607e-13,0.880655257104434,0.761,0.576,5.24198290803219e-09,"Olig2","MFOL","P23","Up"
"Hmgcs1",8.15625162931215e-13,-1.17305567574477,0.441,0.655,1.41388621994126e-08,"Hmgcs1","MFOL","P23","Down"
"Olig1",1.42985891421269e-10,0.827783784114449,0.722,0.544,2.47866042778769e-06,"Olig1","MFOL","P23","Up"
"Cpeb1",5.66674598250442e-10,1.50980801829915,0.307,0.13,9.82330416067141e-06,"Cpeb1","MFOL","P23","Up"
"Sox10",3.31739133431815e-09,-0.4270609653199,0.833,0.924,5.75069787804051e-05,"Sox10","MFOL","P23","Down"
"Efnb3",7.89952558643635e-09,-0.391796657705416,0.892,0.958,0.000136938276040874,"Efnb3","MFOL","P23","Down"
"Tmod1",1.35747115498113e-08,0.670705152703536,0.778,0.669,0.000235317624715978,"Tmod1","MFOL","P23","Up"
"Spns2",3.00075442604683e-08,-0.363700183172086,0.889,0.951,0.000520180779755218,"Spns2","MFOL","P23","Down"
"Aatk",5.03707878678364e-08,0.201762184368976,1,1,0.000873177607688945,"Aatk","MFOL","P23","Up"
"Far1",5.53192830143255e-08,-0.432506139362964,0.801,0.907,0.000958959771053333,"Far1","MFOL","P23","Down"
"Mal",2.14939359032935e-07,-0.335229243396344,0.974,0.984,0.00372597378883593,"Mal","MFOL","P23","Down"
"Kcna1",2.23179680216344e-07,0.413645734371247,0.954,0.882,0.00386881975655033,"Kcna1","MFOL","P23","Up"
"Bcat1",2.25681208938035e-07,-0.80267562255495,0.203,0.396,0.00391218375694084,"Bcat1","MFOL","P23","Down"
"Tns2",3.10668081897486e-07,-1.31992062061202,0.131,0.287,0.00538543119969291,"Tns2","MFOL","P23","Down"
"Kdm5d",3.22896667216874e-07,0.65651127362379,0.523,0.319,0.00559741372620451,"Kdm5d","MFOL","P23","Up"
"Gsn",3.27212527001129e-07,-0.327685334033129,0.977,0.991,0.00567222915556457,"Gsn","MFOL","P23","Down"
"Lama2",3.40960182887851e-07,-1.21526159591224,0.124,0.282,0.0059105447703609,"Lama2","MFOL","P23","Down"
"Enpp6",4.23835309838805e-07,0.714164499567181,0.533,0.354,0.00734718509605569,"Enpp6","MFOL","P23","Up"
"Sp7",5.11424523212676e-07,-1.21286018419028,0.157,0.319,0.00886554410989174,"Sp7","MFOL","P23","Down"
"Adamts20",6.01017305091755e-07,0.833953830569836,0.565,0.414,0.0104186349837656,"Adamts20","MFOL","P23","Up"
"Srebf2",6.36216072066201e-07,-0.393244486998308,0.729,0.812,0.0110288056092676,"Srebf2","MFOL","P23","Down"
"Utp14b",8.57629779451293e-07,-0.553235091669065,0.542,0.704,0.0148670122267882,"Utp14b","MFOL","P23","Down"
"Pdxk",9.33938707979809e-07,0.791173526461355,0.624,0.516,0.01618982750283,"Pdxk","MFOL","P23","Up"
"Abca2",1.0687582356714e-06,0.262253677507205,0.993,0.993,0.0185269240153637,"Abca2","MFOL","P23","Up"
"Uty",1.25126500349999e-06,0.645495388102947,0.484,0.301,0.0216906788356723,"Uty","MFOL","P23","Up"
"Atp1b3",1.58497956903102e-06,1.01523420864533,0.565,0.435,0.0274756208291528,"Atp1b3","MFOL","P23","Up"
"Ddx3y",1.91330331580342e-06,0.703934005186395,0.454,0.28,0.0331671129794524,"Ddx3y","MFOL","P23","Up"
